Friedman Industries PE Ratio Historical Data,Friedman Industries PE Ratio Historical Data,Friedman Industries PE Ratio Historical Data,Friedman Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.2,,21.23
2024-12-31,15.29,$0.81,18.88
2024-09-30,15.98,$1.14,14.01
2024-06-30,15.02,$1.72,8.73
2024-03-31,18.61,$2.39,7.78
2023-12-31,15.33,$2.54,6.04
2023-09-30,13.26,$2.57,5.16
2023-06-30,12.45,$2.43,5.13
2023-03-31,11.19,$2.94,3.81
2022-12-31,9.64,$0.97,9.94
2022-09-30,6.98,$0.35,19.95
2022-06-30,7.98,$1.92,4.15
2022-03-31,8.61,$2.01,4.28
2021-12-31,9.15,$4.62,1.98
2021-09-30,11.6,$5.35,2.17
2021-06-30,13.04,$3.40,3.83
2021-03-31,7.85,$1.64,4.79
2020-12-31,6.64,$-0.29,0.0
2020-09-30,5.59,$-0.72,0.0
2020-06-30,4.85,$-0.90,0.0
2020-03-31,4.22,$-0.75,0.0
2019-12-31,5.74,$-0.49,0.0
2019-09-30,6.17,$-0.27,0.0
2019-06-30,6.57,$0.24,27.37
2019-03-31,7.2,$0.72,10.0
2018-12-31,6.57,$1.20,5.48
2018-09-30,8.72,$1.13,7.72
2018-06-30,7.47,$0.88,8.49
2018-03-31,5.4,$0.39,13.84
2017-12-31,5.21,$0.02,260.7
2017-09-30,5.64,$-0.03,0.0
2017-06-30,5.2,$-0.16,0.0
2017-03-31,5.89,$-0.39,0.0
2016-12-31,6.07,$-0.41,0.0
2016-09-30,4.91,$-0.31,0.0
2016-06-30,5.3,$-0.25,0.0
2016-03-31,4.92,$0.04,122.93
2015-12-31,5.01,$0.05,100.13
2015-09-30,5.42,$0.01,0.0
2015-06-30,5.64,$0.15,37.6
2015-03-31,5.59,$0.05,111.73
2014-12-31,6.3,$0.18,34.98
2014-09-30,7.11,$0.22,32.33
2014-06-30,7.55,$0.11,68.66
2014-03-31,7.52,$0.25,30.07
2013-12-31,7.56,$0.37,20.44
2013-09-30,8.83,$0.47,18.78
2013-06-30,8.62,$0.71,12.15
2013-03-31,8.64,$0.90,9.6
2012-12-31,8.68,$1.04,8.35
2012-09-30,8.26,$1.13,7.31
2012-06-30,8.1,$1.23,6.59
2012-03-31,8.62,$1.19,7.25
2011-12-31,8.21,$1.34,6.13
2011-09-30,6.72,$1.33,5.05
2011-06-30,8.14,$1.25,6.51
2011-03-31,7.66,$1.19,6.44
2010-12-31,6.5,$0.88,7.39
2010-09-30,4.75,$0.62,7.65
2010-06-30,3.84,$0.33,11.64
2010-03-31,3.95,$0.10,39.46
2009-12-31,4.01,$-0.10,0.0
