Crown LNG Holdings PE Ratio Historical Data,Crown LNG Holdings PE Ratio Historical Data,Crown LNG Holdings PE Ratio Historical Data,Crown LNG Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.24,,0.0
2024-06-30,5.75,$-0.85,0.0
2024-03-31,11.29,$-0.87,0.0
2023-12-31,11.13,$-0.62,0.0
2023-09-30,11.0,$-0.43,0.0
2023-06-30,10.48,$0.09,116.44
2023-03-31,10.26,$0.17,60.35
2022-12-31,10.09,$0.31,32.55
2022-09-30,9.9,$0.26,38.08
2022-06-30,9.82,$0.34,28.88
2022-03-31,9.8,$0.89,11.01
