Timberland Bancorp PE Ratio Historical Data,Timberland Bancorp PE Ratio Historical Data,Timberland Bancorp PE Ratio Historical Data,Timberland Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,29.99,,9.71
2024-12-31,30.51,$3.09,9.87
2024-09-30,30.03,$3.00,10.01
2024-06-30,26.65,$3.02,8.82
2024-03-31,26.24,$3.05,8.6
2023-12-31,30.4,$3.15,9.65
2023-09-30,25.97,$3.28,7.92
2023-06-30,24.33,$3.32,7.33
2023-03-31,25.44,$3.24,7.85
2022-12-31,31.93,$3.07,10.4
2022-09-30,25.62,$2.82,9.09
2022-06-30,22.97,$2.68,8.57
2022-03-31,24.61,$2.82,8.73
2021-12-31,25.04,$3.05,8.21
2021-09-30,25.93,$3.27,7.93
2021-06-30,24.97,$3.32,7.52
2021-03-31,24.52,$3.23,7.59
2020-12-31,21.15,$2.97,7.12
2020-09-30,15.54,$2.88,5.4
2020-06-30,15.54,$2.87,5.42
2020-03-31,15.42,$2.83,5.45
2019-12-31,24.89,$2.95,8.44
2019-09-30,22.81,$2.83,8.06
2019-06-30,24.63,$2.67,9.23
2019-03-31,22.87,$2.56,8.93
2018-12-31,18.13,$2.41,7.52
2018-09-30,25.2,$2.23,11.3
2018-06-30,30.01,$2.12,14.16
2018-03-31,24.26,$2.11,11.5
2017-12-31,21.09,$1.96,10.76
2017-09-30,24.8,$1.91,12.98
2017-06-30,19.85,$1.81,10.97
2017-03-31,17.51,$1.59,11.01
2016-12-31,16.07,$1.51,10.64
2016-09-30,12.19,$1.44,8.46
2016-06-30,11.54,$1.48,7.8
2016-03-31,9.67,$1.43,6.76
2015-12-31,9.43,$1.30,7.26
2015-09-30,8.2,$1.18,6.95
2015-06-30,7.5,$0.99,7.57
2015-03-31,7.92,$0.88,9.0
2014-12-31,7.84,$0.83,9.45
2014-09-30,7.76,$0.79,9.82
2014-06-30,7.72,$0.66,11.7
2014-03-31,7.81,$0.56,13.95
2013-12-31,7.0,$0.57,12.28
2013-09-30,6.53,$0.58,11.25
2013-06-30,6.08,$0.61,9.97
2013-03-31,5.91,$0.67,8.82
2012-12-31,4.98,$0.58,8.58
2012-09-30,4.3,$0.52,8.28
2012-06-30,3.62,$0.34,10.65
2012-03-31,3.34,$-0.05,0.0
2011-12-31,2.83,$-0.01,0.0
2011-09-30,2.9,$0.00,0.0
2011-06-30,4.24,$-0.01,0.0
2011-03-31,4.02,$0.30,13.41
2010-12-31,2.59,$-0.33,0.0
2010-09-30,2.9,$-0.50,0.0
2010-06-30,2.37,$-0.52,0.0
2010-03-31,2.87,$-0.48,0.0
2009-12-31,3.18,$-0.21,0.0
