Inseego PE Ratio Historical Data,Inseego PE Ratio Historical Data,Inseego PE Ratio Historical Data,Inseego PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.55,,0.0
2024-12-31,10.26,$-0.62,0.0
2024-09-30,16.33,$-1.80,0.0
2024-06-30,10.66,$-3.64,0.0
2024-03-31,2.8,$-4.12,0.0
2023-12-31,2.2,$-4.18,0.0
2023-09-30,4.2,$-4.30,0.0
2023-06-30,6.44,$-3.90,0.0
2023-03-31,5.82,$-4.60,0.0
2022-12-31,8.43,$-6.50,0.0
2022-09-30,20.7,$-6.20,0.0
2022-06-30,18.9,$-5.60,0.0
2022-03-31,40.5,$-5.80,0.0
2021-12-31,58.3,$-5.20,0.0
2021-09-30,66.6,$-5.50,0.0
2021-06-30,100.9,$-5.20,0.0
2021-03-31,100.0,$-11.60,0.0
2020-12-31,154.7,$-11.80,0.0
2020-09-30,103.2,$-12.10,0.0
2020-06-30,116.0,$-12.60,0.0
2020-03-31,62.3,$-6.20,0.0
2019-12-31,73.3,$-5.20,0.0
2019-09-30,48.0,$-4.10,0.0
2019-06-30,47.9,$-1.50,0.0
2019-03-31,47.2,$-1.20,0.0
2018-12-31,41.5,$-1.50,0.0
2018-09-30,38.5,$-1.50,0.0
2018-06-30,20.1,$-5.30,0.0
2018-03-31,17.8,$-6.30,0.0
2017-12-31,16.1,$-7.80,0.0
2017-09-30,15.1,$-12.20,0.0
2017-06-30,12.5,$-13.30,0.0
2017-03-31,20.9,$-11.70,0.0
2016-12-31,24.4,$-11.10,0.0
2016-09-30,31.3,$-8.80,0.0
2016-06-30,15.2,$-9.20,0.0
2016-03-31,17.7,$-10.40,0.0
2015-12-31,16.7,$-9.90,0.0
2015-09-30,22.15,$-8.20,0.0
2015-06-30,32.5,$-6.70,0.0
2015-03-31,48.2,$-10.10,0.0
2014-12-31,32.2,$-11.00,0.0
2014-09-30,36.7,$-16.30,0.0
2014-06-30,19.1,$-15.50,0.0
2014-03-31,17.6,$-12.70,0.0
2013-12-31,23.7,$-12.80,0.0
2013-09-30,26.1,$-11.00,0.0
2013-06-30,39.5,$-19.20,0.0
2013-03-31,19.9,$-18.30,0.0
2012-12-31,13.3,$-27.30,0.0
2012-09-30,19.8,$-23.90,0.0
2012-06-30,24.9,$-12.80,0.0
2012-03-31,33.5,$-12.60,0.0
2011-12-31,31.3,$-7.80,0.0
2011-09-30,30.2,$-6.90,0.0
2011-06-30,54.8,$-10.50,0.0
2011-03-31,54.6,$-16.60,0.0
2010-12-31,95.5,$-10.80,0.0
2010-09-30,78.8,$-10.30,0.0
2010-06-30,57.4,$-6.10,0.0
2010-03-31,67.3,$0.90,74.78
2009-12-31,79.7,$1.20,66.42
