Methode Electronics PE Ratio Historical Data,Methode Electronics PE Ratio Historical Data,Methode Electronics PE Ratio Historical Data,Methode Electronics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.77,,0.0
2025-01-31,11.32,$-2.61,0.0
2024-10-31,8.72,$-2.53,0.0
2024-07-31,12.5,$-4.03,0.0
2024-04-30,11.92,$-3.49,0.0
2024-01-31,20.07,$-1.64,0.0
2023-10-31,21.96,$-0.77,0.0
2023-07-31,32.12,$1.53,20.99
2023-04-30,38.97,$2.09,18.65
2023-01-31,45.25,$2.30,19.67
2022-10-31,38.96,$2.54,15.34
2022-07-31,38.82,$2.51,15.47
2022-04-30,41.82,$2.69,15.55
2022-01-31,41.15,$3.07,13.4
2021-10-31,39.2,$3.12,12.56
2021-07-31,44.42,$3.41,13.03
2021-04-30,41.6,$3.19,13.04
2021-01-31,34.87,$3.17,11.0
2020-10-31,28.35,$3.43,8.26
2020-07-31,25.88,$3.05,8.49
2020-04-30,27.45,$3.26,8.42
2020-01-31,29.83,$3.07,9.72
2019-10-31,31.24,$2.80,11.16
2019-07-31,27.11,$2.56,10.59
2019-04-30,26.6,$2.44,10.9
2019-01-31,23.13,$2.82,8.2
2018-10-31,26.47,$1.35,19.61
2018-07-31,34.97,$1.60,21.85
2018-04-30,35.45,$1.52,23.32
2018-01-31,36.19,$1.16,31.2
2017-10-31,41.44,$2.44,16.98
2017-07-31,35.05,$2.46,14.25
2017-04-30,39.2,$2.48,15.81
2017-01-31,36.92,$2.46,15.01
2016-10-31,27.33,$2.28,11.99
2016-07-31,30.61,$2.16,14.17
2016-04-30,25.91,$2.19,11.83
2016-01-31,22.64,$2.27,9.97
2015-10-31,28.86,$2.50,11.54
2015-07-31,23.17,$2.62,8.84
2015-04-30,36.54,$2.57,14.22
2015-01-31,31.07,$3.14,9.89
2014-10-31,33.74,$2.84,11.88
2014-07-31,27.33,$2.69,10.16
2014-04-30,23.64,$2.50,9.46
2014-01-31,28.6,$1.52,18.81
2013-10-31,21.69,$1.23,17.63
2013-07-31,15.97,$1.34,11.92
2013-04-30,12.11,$1.08,11.21
2013-01-31,8.06,$0.96,8.4
2012-10-31,8.41,$0.89,9.45
2012-07-31,7.26,$0.28,25.94
2012-04-30,6.92,$0.22,31.45
2012-01-31,8.06,$0.33,24.44
2011-10-31,7.49,$0.47,15.93
2011-07-31,8.46,$0.45,18.8
2011-04-30,9.82,$0.52,18.88
2011-01-31,9.33,$0.70,13.34
2010-10-31,7.3,$0.42,17.37
2010-07-31,8.32,$0.49,16.98
2010-04-30,8.59,$0.38,22.61
2010-01-31,8.45,$-2.56,0.0
2009-10-31,5.55,$-3.18,0.0
