"USA Compression Partners, LP PE Ratio Historical Data","USA Compression Partners, LP PE Ratio Historical Data","USA Compression Partners, LP PE Ratio Historical Data","USA Compression Partners, LP PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,27.46,,37.62
2024-12-31,23.56,$0.73,32.27
2024-09-30,22.38,$0.57,39.26
2024-06-30,22.66,$0.53,42.76
2024-03-31,24.94,$0.41,60.84
2023-12-31,20.91,$0.21,99.57
2023-09-30,21.41,$0.15,142.72
2023-06-30,17.26,$0.03,575.21
2023-03-31,18.01,$-0.11,0.0
2022-12-31,16.23,$-0.19,0.0
2022-09-30,14.05,$-0.24,0.0
2022-06-30,13.08,$-0.29,0.0
2022-03-31,13.4,$-0.36,0.0
2021-12-31,12.86,$-0.39,0.0
2021-09-30,11.85,$-0.44,0.0
2021-06-30,11.4,$-0.42,0.0
2021-03-31,10.24,$-0.42,0.0
2020-12-31,8.8,$-6.66,0.0
2020-09-30,6.18,$-6.55,0.0
2020-06-30,6.42,$-6.47,0.0
2020-03-31,3.13,$-6.36,0.0
2019-12-31,9.71,$-0.02,0.0
2019-09-30,8.97,$0.02,448.67
2019-06-30,8.97,$-0.10,0.0
2019-03-31,7.65,$-0.75,0.0
2018-12-31,6.14,$-0.96,0.0
2018-09-30,7.81,$-0.90,0.0
2018-06-30,7.71,$-0.73,0.0
2018-03-31,7.54,$-0.09,0.0
2017-12-31,7.16,$0.16,44.74
2017-09-30,7.01,$0.14,50.04
2017-06-30,6.64,$0.03,221.43
2017-03-31,6.65,$0.08,83.12
2016-12-31,6.62,$0.30,22.08
2016-09-30,6.99,$-2.77,0.0
2016-06-30,5.27,$-2.52,0.0
2016-03-31,4.07,$-2.91,0.0
2015-12-31,3.8,$-2.91,0.0
2015-09-30,4.62,$0.29,15.92
2015-06-30,5.96,$0.19,31.36
2015-03-31,6.22,$0.73,8.53
2014-12-31,4.9,$0.59,8.31
2014-09-30,7.02,$0.53,13.24
2014-06-30,7.27,$0.47,15.47
2014-03-31,7.3,$0.35,20.85
2013-12-31,7.32,$0.32,22.89
