PLAYSTUDIOS PE Ratio Historical Data,PLAYSTUDIOS PE Ratio Historical Data,PLAYSTUDIOS PE Ratio Historical Data,PLAYSTUDIOS PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.3,,0.0
2024-12-31,1.86,$-0.22,0.0
2024-09-30,1.51,$-0.19,0.0
2024-06-30,2.07,$-0.14,0.0
2024-03-31,2.78,$-0.13,0.0
2023-12-31,2.71,$-0.15,0.0
2023-09-30,3.18,$-0.02,0.0
2023-06-30,4.91,$-0.03,0.0
2023-03-31,3.69,$0.02,184.5
2022-12-31,3.88,$-0.16,0.0
2022-09-30,3.49,$-0.14,0.0
2022-06-30,4.28,$-0.08,0.0
2022-03-31,4.85,$-0.19,0.0
