Clear Channel Outdoor Holdings PE Ratio Historical Data,Clear Channel Outdoor Holdings PE Ratio Historical Data,Clear Channel Outdoor Holdings PE Ratio Historical Data,Clear Channel Outdoor Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.12,,0.0
2024-12-31,1.37,$-0.38,0.0
2024-09-30,1.6,$-0.29,0.0
2024-06-30,1.41,$-0.77,0.0
2024-03-31,1.65,$-0.77,0.0
2023-12-31,1.82,$-0.65,0.0
2023-09-30,1.58,$-0.49,0.0
2023-06-30,1.37,$-0.02,0.0
2023-03-31,1.2,$-0.08,0.0
2022-12-31,1.05,$-0.20,0.0
2022-09-30,1.37,$-0.28,0.0
2022-06-30,1.07,$-0.29,0.0
2022-03-31,3.46,$-0.42,0.0
2021-12-31,3.31,$-0.94,0.0
2021-09-30,2.71,$-1.14,0.0
2021-06-30,2.64,$-1.34,0.0
2021-03-31,1.8,$-1.37,0.0
2020-12-31,1.65,$-1.26,0.0
2020-09-30,1.0,$-1.13,0.0
2020-06-30,1.04,$-1.30,0.0
2020-03-31,0.64,$-1.03,0.0
2019-12-31,2.86,$-0.88,0.0
2019-09-30,2.52,$-0.87,0.0
2019-06-30,4.72,$-0.59,0.0
2019-03-31,5.35,$-0.70,0.0
2018-12-31,5.19,$-0.60,0.0
2018-09-30,5.95,$-0.67,0.0
2018-06-30,4.3,$-0.66,0.0
2018-03-31,4.9,$-0.53,0.0
2017-12-31,4.52,$-0.26,0.0
2017-09-30,4.43,$0.02,221.31
2017-06-30,4.62,$0.10,46.17
2017-03-31,5.76,$-0.08,0.0
2016-12-31,4.12,$0.39,10.56
2016-09-30,4.76,$-0.01,0.0
2016-06-30,5.07,$0.02,253.52
2016-03-31,3.83,$0.21,18.24
2015-12-31,2.93,$-0.27,0.0
2015-09-30,3.73,$-0.03,0.0
2015-06-30,5.3,$0.01,0.0
2015-03-31,5.3,$0.15,35.31
2014-12-31,5.54,$-0.03,0.0
2014-09-30,3.53,$-0.11,0.0
2014-06-30,4.01,$-0.08,0.0
2014-03-31,4.46,$-0.20,0.0
2013-12-31,4.97,$-0.15,0.0
2013-09-30,3.56,$-0.61,0.0
2013-06-30,3.24,$-0.57,0.0
2013-03-31,3.25,$-0.63,0.0
2012-12-31,3.04,$-0.53,0.0
2012-09-30,2.59,$-0.05,0.0
2012-06-30,2.61,$-0.09,0.0
2012-03-31,3.46,$0.02,173.07
2011-12-31,3.07,$0.11,27.92
2011-09-30,2.29,$0.05,45.81
2011-06-30,3.11,$-0.06,0.0
2011-03-31,3.56,$-0.16,0.0
2010-12-31,3.44,$-0.27,0.0
2010-09-30,2.8,$-0.45,0.0
2010-06-30,2.12,$-0.45,0.0
2010-03-31,2.6,$-2.36,0.0
2009-12-31,2.54,$-2.47,0.0
