Avita Medical PE Ratio Historical Data,Avita Medical PE Ratio Historical Data,Avita Medical PE Ratio Historical Data,Avita Medical PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.28,,0.0
2024-12-31,12.8,$-2.39,0.0
2024-09-30,10.72,$-2.23,0.0
2024-06-30,7.92,$-1.95,0.0
2024-03-31,16.03,$-1.76,0.0
2023-12-31,13.72,$-1.40,0.0
2023-09-30,14.61,$-1.33,0.0
2023-06-30,17.01,$-1.21,0.0
2023-03-31,13.97,$-1.05,0.0
2022-12-31,6.6,$-1.06,0.0
2022-09-30,5.27,$-0.85,0.0
2022-06-30,4.75,$-0.87,0.0
2022-03-31,8.48,$-0.81,0.0
2021-12-31,11.98,$-0.69,0.0
2021-09-30,17.72,$-0.95,0.0
2021-06-30,20.52,$-1.19,0.0
2021-03-31,19.82,$-1.00,0.0
2020-12-31,18.58,$-0.74,0.0
2020-09-30,25.16,$-0.48,0.0
