Accelerate Diagnostics PE Ratio Historical Data,Accelerate Diagnostics PE Ratio Historical Data,Accelerate Diagnostics PE Ratio Historical Data,Accelerate Diagnostics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.13,,0.0
2024-09-30,1.71,$-2.86,0.0
2024-06-30,1.17,$-2.21,0.0
2024-03-31,0.99,$-4.07,0.0
2023-12-31,3.92,$-4.89,0.0
2023-09-30,5.75,$-5.40,0.0
2023-06-30,8.1,$-7.26,0.0
2023-03-31,7.0,$-7.20,0.0
2022-12-31,7.06,$-7.60,0.0
2022-09-30,15.2,$-9.60,0.0
2022-06-30,9.93,$-9.30,0.0
2022-03-31,14.4,$-10.60,0.0
2021-12-31,52.2,$-12.60,0.0
2021-09-30,58.3,$-12.50,0.0
2021-06-30,80.6,$-14.30,0.0
2021-03-31,83.2,$-14.20,0.0
2020-12-31,75.8,$-14.00,0.0
2020-09-30,106.6,$-14.60,0.0
2020-06-30,151.6,$-15.00,0.0
2020-03-31,83.3,$-15.30,0.0
2019-12-31,169.0,$-15.40,0.0
2019-09-30,185.7,$-15.60,0.0
2019-06-30,228.8,$-16.00,0.0
2019-03-31,210.2,$-16.50,0.0
2018-12-31,115.0,$-16.20,0.0
2018-09-30,229.5,$-14.80,0.0
2018-06-30,223.0,$-13.80,0.0
2018-03-31,228.5,$-12.60,0.0
2017-12-31,262.0,$-11.60,0.0
2017-09-30,224.5,$-12.00,0.0
2017-06-30,273.5,$-12.30,0.0
2017-03-31,242.0,$-12.70,0.0
2016-12-31,207.5,$-12.90,0.0
2016-09-30,272.6,$-12.70,0.0
2016-06-30,143.9,$-11.80,0.0
2016-03-31,143.7,$-11.00,0.0
2015-12-31,214.9,$-10.10,0.0
2015-09-30,161.8,$-9.20,0.0
2015-06-30,258.1,$-8.70,0.0
2015-03-31,225.0,$-7.90,0.0
2014-12-31,191.9,$-7.10,0.0
2014-09-30,214.8,$-6.40,0.0
2014-06-30,260.0,$-5.40,0.0
2014-03-31,218.1,$-4.80,0.0
2013-12-31,122.0,$-4.50,0.0
2013-09-30,134.1,$-3.20,0.0
2013-06-30,81.2,$-2.20,0.0
2013-03-31,72.7,$-1.60,0.0
2012-12-31,40.3,$-0.70,0.0
2012-10-31,36.0,$-4.00,0.0
2012-09-30,33.3,$-4.00,0.0
2012-07-31,32.7,$-3.60,0.0
2012-06-30,26.9,$-3.60,0.0
2012-04-30,27.3,$-0.30,0.0
2012-03-31,10.5,$-0.30,0.0
2012-01-31,12.8,0,0.0
2011-10-31,28.7,0,0.0
2011-07-31,38.9,0,0.0
2011-04-30,38.6,0,0.0
2011-01-31,13.0,0,0.0
2010-10-31,11.0,0,0.0
2010-07-31,8.7,0,0.0
2010-04-30,8.3,0,0.0
2010-01-31,6.8,0,0.0
2009-10-31,12.8,0,0.0
