Adecoagro S.A PE Ratio Historical Data,Adecoagro S.A PE Ratio Historical Data,Adecoagro S.A PE Ratio Historical Data,Adecoagro S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.9,,7.27
2024-09-30,10.9,$1.50,7.27
2024-06-30,9.58,$2.02,4.74
2024-03-31,10.69,$2.36,4.53
2023-12-31,10.77,$2.11,5.1
2023-09-30,11.16,$1.37,8.15
2023-06-30,8.94,$0.87,10.28
2023-03-31,7.58,$0.61,12.43
2022-12-31,7.77,$0.98,7.93
2022-09-30,7.63,$1.48,5.15
2022-06-30,7.78,$1.59,4.9
2022-03-31,10.96,$1.56,7.03
2021-12-31,6.97,$1.15,6.06
2021-09-30,8.19,$1.03,7.96
2021-06-30,9.11,$0.88,10.35
2021-03-31,7.13,$0.64,11.15
2020-12-31,6.17,$0.01,617.08
2020-09-30,4.24,$-0.32,0.0
2020-06-30,3.94,$-0.75,0.0
2020-03-31,3.53,$-0.45,0.0
2019-12-31,7.6,$-0.01,0.0
2019-09-30,5.29,$-0.13,0.0
2019-06-30,6.48,$0.17,38.11
2019-03-31,6.25,$-0.30,0.0
2018-12-31,6.32,$-0.21,0.0
2018-09-30,6.67,$-0.13,0.0
2018-06-30,7.21,$-0.20,0.0
2018-03-31,6.82,$0.10,68.24
2017-12-31,9.38,$0.08,117.29
2017-09-30,9.8,$0.14,70.01
2017-06-30,9.07,$0.22,41.21
2017-03-31,10.4,$0.04,259.99
2016-12-31,9.42,$0.01,941.96
2016-09-30,10.35,$-0.09,0.0
2016-06-30,9.96,$-0.12,0.0
2016-03-31,10.48,$0.04,262.04
2015-12-31,11.15,$0.14,79.66
2015-09-30,7.22,$0.03,240.78
2015-06-30,8.37,$0.10,83.67
2015-03-31,9.27,$0.10,92.74
2014-12-31,7.27,$0.01,0.0
2014-09-30,7.99,$0.12,66.55
2014-06-30,8.57,$-0.02,0.0
2014-03-31,7.41,$-0.25,0.0
2013-12-31,7.34,$-0.27,0.0
2013-09-30,6.72,$-0.23,0.0
2013-06-30,5.67,$-0.18,0.0
2013-03-31,6.98,$-0.19,0.0
2012-12-31,7.7,$-0.19,0.0
2012-09-30,9.13,$-0.23,0.0
2012-06-30,8.32,$-0.18,0.0
2012-03-31,9.81,$0.07,140.14
2011-12-31,7.5,$0.10,75.05
