EVI Industries PE Ratio Historical Data,EVI Industries PE Ratio Historical Data,EVI Industries PE Ratio Historical Data,EVI Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,18.56,,38.67
2024-12-31,16.35,$0.48,34.06
2024-09-30,19.33,$0.50,38.66
2024-06-30,18.62,$0.38,49.0
2024-03-31,24.51,$0.37,66.23
2023-12-31,23.35,$0.50,46.71
2023-09-30,24.18,$0.56,43.17
2023-06-30,21.43,$0.67,31.98
2023-03-31,19.29,$0.65,29.67
2022-12-31,23.25,$0.46,50.54
2022-09-30,17.67,$0.35,50.48
2022-06-30,9.73,$0.30,32.44
2022-03-31,18.11,$0.68,26.63
2021-12-31,30.42,$0.72,42.25
2021-09-30,26.49,$0.71,37.32
2021-06-30,27.66,$0.60,46.11
2021-03-31,28.02,$0.10,280.23
2020-12-31,29.14,$0.06,485.73
2020-09-30,25.92,$0.05,518.39
2020-06-30,21.15,$0.05,422.93
2020-03-31,15.37,$0.15,102.47
2019-12-31,26.34,$0.19,138.62
2019-09-30,31.09,$0.27,115.15
2019-06-30,37.28,$0.29,128.54
2019-03-31,37.14,$0.26,142.85
2018-12-31,32.48,$0.31,104.79
2018-09-30,37.81,$0.34,111.21
2018-06-30,39.12,$0.33,118.55
2018-03-31,38.1,$0.31,122.91
2017-12-31,38.83,$0.30,129.44
2017-09-30,26.75,$0.30,89.18
2017-06-30,26.17,$0.30,87.24
2017-03-31,18.34,$0.32,57.3
2016-12-31,14.03,$0.35,40.08
2016-09-30,7.83,$0.27,28.98
2016-06-30,3.68,$0.24,15.34
2016-03-31,3.12,$0.22,14.2
2015-12-31,4.01,$0.17,23.58
2015-09-30,3.63,$0.19,19.1
2015-06-30,4.07,$0.24,16.94
2015-03-31,2.71,$0.26,10.43
2014-12-31,2.5,$0.24,10.42
2014-09-30,2.16,$0.24,9.0
2014-06-30,2.12,$0.23,9.21
2014-03-31,2.86,$0.33,8.65
2013-12-31,2.54,$0.33,7.7
2013-09-30,1.51,$0.28,5.38
2013-06-30,1.34,$0.24,5.57
2013-03-31,1.2,$0.10,12.02
2012-12-31,1.29,$0.07,18.36
2012-09-30,0.88,$0.06,14.69
2012-06-30,0.71,$0.07,10.09
2012-03-31,0.72,$0.10,7.22
2011-12-31,0.67,$0.10,6.73
2011-09-30,0.73,$0.10,7.26
2011-06-30,0.7,$0.09,7.83
2011-03-31,0.73,$0.07,10.37
2010-12-31,0.57,$0.07,8.17
2010-09-30,0.57,$0.09,6.36
2010-06-30,0.6,$0.06,9.98
2010-03-31,0.64,$0.03,21.36
2009-12-31,0.62,$0.03,20.65
