Olympic Steel PE Ratio Historical Data,Olympic Steel PE Ratio Historical Data,Olympic Steel PE Ratio Historical Data,Olympic Steel PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,33.23,,16.87
2024-12-31,32.81,$1.97,16.65
2024-09-30,38.86,$2.28,17.05
2024-06-30,44.51,$3.11,14.31
2024-03-31,70.16,$3.75,18.71
2023-12-31,65.88,$3.85,17.11
2023-09-30,55.39,$3.55,15.6
2023-06-30,48.18,$3.53,13.65
2023-03-31,51.18,$5.49,9.32
2022-12-31,32.84,$7.87,4.17
2022-09-30,22.25,$9.69,2.3
2022-06-30,25.03,$12.52,2.0
2022-03-31,37.29,$11.84,3.15
2021-12-31,22.71,$10.52,2.16
2021-09-30,23.52,$8.52,2.76
2021-06-30,28.35,$4.52,6.27
2021-03-31,28.39,$1.38,20.57
2020-12-31,12.84,$-0.48,0.0
2020-09-30,10.93,$-0.72,0.0
2020-06-30,11.28,$-0.54,0.0
2020-03-31,9.92,$0.20,49.59
2019-12-31,17.14,$0.33,51.95
2019-09-30,13.76,$0.30,45.86
2019-06-30,13.02,$1.26,10.33
2019-03-31,15.11,$2.47,6.12
2018-12-31,13.57,$2.96,4.59
2018-09-30,19.83,$3.44,5.76
2018-06-30,19.38,$2.63,7.37
2018-03-31,19.45,$1.66,11.72
2017-12-31,20.37,$1.67,12.19
2017-09-30,20.83,$1.11,18.76
2017-06-30,18.42,$0.75,24.56
2017-03-31,17.53,$0.65,26.97
2016-12-31,22.87,$-0.10,0.0
2016-09-30,20.84,$-0.36,0.0
2016-06-30,25.73,$-0.25,0.0
2016-03-31,16.29,$-2.56,0.0
2015-12-31,10.88,$-2.39,0.0
2015-09-30,9.33,$-4.36,0.0
2015-06-30,16.33,$-4.17,0.0
2015-03-31,12.59,$-1.86,0.0
2014-12-31,16.61,$-1.71,0.0
2014-09-30,19.19,$0.59,32.53
2014-06-30,23.07,$0.57,40.48
2014-03-31,26.73,$0.48,55.69
2013-12-31,26.97,$0.70,38.53
2013-09-30,25.84,$-0.10,0.0
2013-06-30,22.77,$-0.07,0.0
2013-03-31,22.19,$0.11,201.76
2012-12-31,20.54,$0.21,97.8
2012-09-30,15.64,$1.18,13.26
2012-06-30,15.2,$1.59,9.56
2012-03-31,22.19,$1.91,11.62
2011-12-31,21.54,$2.28,9.45
2011-09-30,15.63,$2.08,7.52
2011-06-30,25.38,$1.41,18.0
2011-03-31,30.23,$0.98,30.85
2010-12-31,26.4,$0.20,132.02
2010-09-30,21.15,$0.11,192.24
2010-06-30,21.11,$0.28,75.38
2010-03-31,29.98,$-3.13,0.0
2009-12-31,29.9,$-5.63,0.0
