Arch Capital Group PE Ratio Historical Data,Arch Capital Group PE Ratio Historical Data,Arch Capital Group PE Ratio Historical Data,Arch Capital Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,92.45,,8.25
2024-12-31,92.35,$11.20,8.25
2024-09-30,106.39,$14.90,7.14
2024-06-30,95.94,$14.22,6.75
2024-03-31,87.91,$12.67,6.94
2023-12-31,70.63,$11.62,6.08
2023-09-30,75.8,$7.76,9.77
2023-06-30,71.18,$5.90,12.06
2023-03-31,64.54,$5.19,12.44
2022-12-31,59.7,$3.80,15.71
2022-09-30,43.31,$3.12,13.88
2022-06-30,43.26,$4.08,10.6
2022-03-31,46.05,$4.67,9.86
2021-12-31,42.27,$5.24,8.07
2021-09-30,36.31,$4.96,7.32
2021-06-30,37.03,$4.98,7.44
2021-03-31,36.49,$4.06,8.99
2020-12-31,34.3,$3.33,10.3
2020-09-30,27.82,$2.79,9.97
2020-06-30,27.25,$2.71,10.05
2020-03-31,27.06,$3.12,8.67
2019-12-31,40.79,$3.87,10.54
2019-09-30,39.92,$3.42,11.67
2019-06-30,35.26,$3.03,11.64
2019-03-31,30.74,$2.47,12.44
2018-12-31,25.41,$1.73,14.69
2018-09-30,28.35,$1.91,14.87
2018-06-30,25.16,$1.25,20.18
2018-03-31,27.13,$1.10,24.59
2017-12-31,28.77,$1.35,21.26
2017-09-30,31.22,$1.03,30.21
2017-06-30,29.57,$1.82,16.22
2017-03-31,30.04,$1.96,15.35
2016-12-31,27.35,$1.78,15.4
2016-09-30,25.12,$1.75,14.36
2016-06-30,22.82,$1.29,17.69
2016-03-31,22.54,$1.03,21.81
2015-12-31,22.11,$1.35,16.34
2015-09-30,23.29,$1.75,13.33
2015-06-30,21.23,$2.09,10.14
2015-03-31,19.53,$2.29,8.51
2014-12-31,18.73,$2.01,9.34
2014-09-30,17.35,$1.85,9.36
2014-06-30,18.21,$1.57,11.57
2014-03-31,18.24,$1.50,12.16
2013-12-31,18.92,$1.68,11.24
2013-09-30,17.16,$1.34,12.84
2013-06-30,16.3,$1.51,10.77
2013-03-31,16.66,$1.61,10.37
2012-12-31,13.95,$1.37,10.19
2012-09-30,13.2,$1.67,7.9
2012-06-30,12.58,$1.62,7.75
2012-03-31,11.8,$1.33,8.85
2011-12-31,11.8,$1.00,11.8
2011-09-30,10.36,$1.17,8.85
2011-06-30,10.12,$1.08,9.37
2011-03-31,10.48,$1.35,7.76
2010-12-31,9.3,$1.72,5.4
2010-09-30,8.85,$1.75,5.07
2010-06-30,7.87,$1.93,4.08
2010-03-31,8.06,$1.71,4.72
2009-12-31,7.56,$1.53,4.93
