Cronos Group PE Ratio Historical Data,Cronos Group PE Ratio Historical Data,Cronos Group PE Ratio Historical Data,Cronos Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.82,,18.2
2024-12-31,2.02,$0.10,20.2
2024-09-30,2.19,$-0.13,0.0
2024-06-30,2.33,$-0.15,0.0
2024-03-31,2.61,$-0.15,0.0
2023-12-31,2.09,$-0.19,0.0
2023-09-30,2.0,$-0.28,0.0
2023-06-30,1.97,$-0.38,0.0
2023-03-31,1.94,$-0.41,0.0
2022-12-31,2.54,$-0.45,0.0
2022-09-30,2.82,$-0.60,0.0
2022-06-30,2.82,$-0.29,0.0
2022-03-31,3.89,$-0.09,0.0
2021-12-31,3.92,$-0.44,0.0
2021-09-30,5.66,$-0.39,0.0
2021-06-30,8.6,$-0.41,0.0
2021-03-31,9.46,$-0.87,0.0
2020-12-31,6.94,$-0.23,0.0
2020-09-30,5.01,$0.24,20.88
2020-06-30,6.01,$0.45,13.36
2020-03-31,5.67,$0.92,6.16
2019-12-31,7.67,$1.08,7.1
2019-09-30,9.05,$0.87,10.4
2019-06-30,15.98,$0.44,36.32
2019-03-31,18.43,$0.28,65.82
2018-12-31,10.39,$-0.09,0.0
