Nucor PE Ratio Historical Data,Nucor PE Ratio Historical Data,Nucor PE Ratio Historical Data,Nucor PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,129.5,,15.4
2024-12-31,116.71,$8.41,13.88
2024-09-30,150.34,$10.35,14.53
2024-06-30,157.51,$13.87,11.36
2024-03-31,196.52,$17.00,11.56
2023-12-31,172.36,$17.99,9.58
2023-09-30,154.36,$19.72,7.83
2023-06-30,161.37,$21.65,7.45
2023-03-31,151.54,$25.51,5.94
2022-12-31,128.88,$28.73,4.49
2022-09-30,104.21,$31.81,3.28
2022-06-30,101.22,$32.59,3.11
2022-03-31,143.43,$27.96,5.13
2021-12-31,109.77,$23.39,4.69
2021-09-30,94.3,$16.72,5.64
2021-06-30,91.48,$10.07,9.08
2021-03-31,76.22,$5.39,14.14
2020-12-31,50.25,$2.36,21.29
2020-09-30,42.06,$1.41,29.83
2020-06-30,38.48,$1.68,22.9
2020-03-31,33.14,$2.58,12.85
2019-12-31,51.2,$4.14,12.37
2019-09-30,45.98,$5.86,7.85
2019-06-30,49.37,$7.09,6.96
2019-03-31,51.9,$7.96,6.52
2018-12-31,45.76,$7.43,6.16
2018-09-30,55.62,$6.56,8.48
2018-06-30,54.46,$5.26,10.35
2018-03-31,52.91,$4.13,12.81
2017-12-31,54.71,$4.14,13.22
2017-09-30,47.94,$3.44,13.94
2017-06-30,49.17,$3.45,14.25
2017-03-31,50.42,$3.18,15.85
2016-12-31,49.93,$2.29,21.8
2016-09-30,41.23,$1.60,25.77
2016-06-30,40.89,$1.47,27.81
2016-03-31,38.83,$1.13,34.37
2015-12-31,32.83,$1.12,29.31
2015-09-30,30.31,$1.96,15.46
2015-06-30,35.21,$2.01,17.52
2015-03-31,37.67,$2.08,18.11
2014-12-31,38.57,$2.22,17.37
2014-09-30,42.36,$2.10,20.17
2014-06-30,38.18,$1.80,21.21
2014-03-31,38.89,$1.61,24.16
2013-12-31,40.78,$1.52,26.83
2013-09-30,37.19,$1.42,26.19
2013-06-30,32.62,$1.31,24.9
2013-03-31,34.47,$1.39,24.8
2012-12-31,31.98,$1.59,20.11
2012-09-30,28.11,$1.59,17.68
2012-06-30,27.58,$1.81,15.24
2012-03-31,30.95,$2.40,12.89
2011-12-31,28.27,$2.44,11.59
2011-09-30,22.4,$1.97,11.37
2011-06-30,28.85,$1.47,19.63
2011-03-31,31.92,$0.82,38.92
2010-12-31,30.16,$0.42,71.8
2010-09-30,26.08,$0.64,40.74
2010-06-30,25.89,$0.47,55.07
2010-03-31,30.41,$-0.25,0.0
2009-12-31,31.02,$-0.95,0.0
