ResMed PE Ratio Historical Data,ResMed PE Ratio Historical Data,ResMed PE Ratio Historical Data,ResMed PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,221.11,,26.11
2024-12-31,228.69,$8.47,27.0
2024-09-30,243.6,$7.55,32.26
2024-06-30,190.57,$6.93,27.5
2024-03-31,196.71,$6.51,30.22
2023-12-31,170.43,$6.05,28.17
2023-09-30,146.03,$6.16,23.71
2023-06-30,215.19,$6.10,35.28
2023-03-31,215.27,$5.87,36.67
2022-12-31,204.19,$5.51,37.06
2022-09-30,213.72,$5.35,39.95
2022-06-30,204.85,$5.31,38.58
2022-03-31,236.46,$5.31,44.53
2021-12-31,253.55,$3.55,71.42
2021-09-30,256.13,$3.41,75.11
2021-06-30,239.22,$3.24,73.83
2021-03-31,187.89,$3.13,60.03
2020-12-31,205.45,$4.79,42.89
2020-09-30,165.39,$4.66,35.49
2020-06-30,184.84,$4.27,43.29
2020-03-31,141.46,$3.53,40.07
2019-12-31,148.5,$3.14,47.29
2019-09-30,129.12,$2.90,44.52
2019-06-30,116.62,$2.80,41.65
2019-03-31,99.36,$3.08,32.26
2018-12-31,108.4,$3.11,34.86
2018-09-30,109.43,$2.32,47.17
2018-06-30,97.93,$2.19,44.72
2018-03-31,92.77,$2.14,43.35
2017-12-31,79.49,$2.00,39.74
2017-09-30,71.92,$2.47,29.12
2017-06-30,72.43,$2.41,30.05
2017-03-31,66.61,$2.29,29.09
2016-12-31,57.16,$2.30,24.85
2016-09-30,59.34,$2.40,24.73
2016-06-30,57.64,$2.43,23.72
2016-03-31,52.43,$2.45,21.4
2015-12-31,48.43,$2.46,19.69
2015-09-30,45.73,$2.46,18.59
2015-06-30,50.31,$2.47,20.37
2015-03-31,63.75,$2.47,25.81
2014-12-31,49.57,$2.46,20.15
2014-09-30,43.33,$2.42,17.91
2014-06-30,44.29,$2.40,18.45
2014-03-31,38.9,$2.29,16.99
2013-12-31,40.76,$2.24,18.2
2013-09-30,45.51,$2.17,20.97
2013-06-30,38.69,$2.10,18.42
2013-03-31,39.61,$2.13,18.59
2012-12-31,35.37,$1.99,17.78
2012-09-30,34.29,$1.88,18.24
2012-06-30,26.32,$1.72,15.3
2012-03-31,26.07,$1.56,16.71
2011-12-31,21.43,$1.46,14.68
2011-09-30,24.29,$1.41,17.22
2011-06-30,26.11,$1.44,18.13
2011-03-31,25.31,$1.41,17.95
2010-12-31,29.22,$1.39,21.1
2010-09-30,27.68,$1.32,21.05
2010-06-30,25.65,$1.23,20.85
2010-03-31,26.85,$1.19,22.65
2009-12-31,22.05,$1.13,19.6
