Zedge PE Ratio Historical Data,Zedge PE Ratio Historical Data,Zedge PE Ratio Historical Data,Zedge PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.25,,0.0
2025-01-31,2.71,$-0.13,0.0
2024-10-31,3.08,$-0.67,0.0
2024-07-31,3.62,$-0.65,0.0
2024-04-30,2.4,$-0.64,0.0
2024-01-31,3.26,$-1.20,0.0
2023-10-31,1.92,$-0.43,0.0
2023-07-31,2.1,$-0.44,0.0
2023-04-30,1.98,$-0.14,0.0
2023-01-31,2.2,$0.46,4.78
2022-10-31,2.12,$0.51,4.16
2022-07-31,2.76,$0.66,4.18
2022-04-30,5.14,$0.52,9.88
2022-01-31,7.56,$0.60,12.6
2021-10-31,11.53,$0.61,18.9
2021-07-31,15.36,$0.55,27.93
2021-04-30,13.3,$0.42,31.67
2021-01-31,7.27,$0.26,27.96
2020-10-31,3.41,$0.10,34.1
2020-07-31,1.39,$-0.06,0.0
2020-04-30,1.12,$-0.22,0.0
2020-01-31,1.7,$-0.31,0.0
2019-10-31,1.76,$-0.34,0.0
2019-07-31,1.61,$-0.33,0.0
2019-04-30,2.09,$-0.24,0.0
2019-01-31,2.06,$-0.15,0.0
2018-10-31,1.94,$-0.15,0.0
2018-07-31,2.97,$-0.16,0.0
2018-04-30,4.23,$-0.15,0.0
2018-01-31,3.04,$-0.14,0.0
2017-10-31,2.92,$-0.15,0.0
2017-07-31,2.07,$-0.05,0.0
2017-04-30,3.07,$-0.11,0.0
