Mexco Energy PE Ratio Historical Data,Mexco Energy PE Ratio Historical Data,Mexco Energy PE Ratio Historical Data,Mexco Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.08,,14.42
2024-12-31,11.28,$0.63,17.9
2024-09-30,12.14,$0.57,21.3
2024-06-30,11.32,$0.54,20.96
2024-03-31,9.89,$0.61,16.22
2023-12-31,9.05,$0.90,10.06
2023-09-30,12.88,$1.30,9.91
2023-06-30,11.91,$1.73,6.88
2023-03-31,11.19,$2.11,5.31
2022-12-31,12.27,$2.16,5.68
2022-09-30,15.95,$1.96,8.14
2022-06-30,16.9,$1.74,9.72
2022-03-31,15.93,$0.96,16.59
2021-12-31,9.22,$0.71,12.99
2021-09-30,10.23,$0.39,26.22
2021-06-30,9.61,$0.04,240.19
2021-03-31,8.69,$0.08,108.67
2020-12-31,5.93,$-0.13,0.0
2020-09-30,4.69,$-0.15,0.0
2020-06-30,3.23,$-0.17,0.0
2020-03-31,2.17,$-0.05,0.0
2019-12-31,3.87,$-0.07,0.0
2019-09-30,3.92,$-0.10,0.0
2019-06-30,3.88,$-0.05,0.0
2019-03-31,4.87,$-0.01,0.0
2018-12-31,2.72,$0.14,19.46
2018-09-30,5.51,$0.10,55.07
2018-06-30,5.89,$-0.00,0.0
2018-03-31,3.01,$-0.16,0.0
2017-12-31,3.86,$-0.29,0.0
2017-09-30,4.38,$-0.32,0.0
2017-06-30,4.24,$-0.35,0.0
2017-03-31,3.8,$-0.34,0.0
2016-12-31,4.92,$-0.55,0.0
2016-09-30,4.03,$-1.67,0.0
2016-06-30,2.43,$-1.93,0.0
2016-03-31,2.31,$-1.95,0.0
2015-12-31,3.18,$-1.87,0.0
2015-09-30,2.46,$-0.67,0.0
2015-06-30,4.58,$-0.25,0.0
2015-03-31,5.49,$-0.08,0.0
2014-12-31,5.34,$0.05,106.8
2014-09-30,6.81,$0.09,75.61
2014-06-30,8.17,$0.15,54.48
2014-03-31,7.58,$0.15,50.55
2013-12-31,6.79,$0.11,61.69
2013-09-30,6.45,$0.05,129.02
2013-06-30,5.72,$-0.05,0.0
2013-03-31,6.25,$-0.09,0.0
2012-12-31,6.33,$-0.01,0.0
2012-09-30,6.54,$0.04,163.49
2012-06-30,5.84,$0.08,73.02
2012-03-31,7.81,$0.16,48.8
2011-12-31,6.88,$0.15,45.89
2011-09-30,5.95,$0.13,45.77
2011-06-30,9.1,$0.13,69.97
2011-03-31,12.93,$0.08,161.65
2010-12-31,7.52,$0.12,62.69
2010-09-30,6.24,$0.20,31.22
2010-06-30,7.42,$0.24,30.94
2010-03-31,8.01,$0.20,40.07
2009-12-31,9.79,$0.12,81.62
