Gain Therapeutics PE Ratio Historical Data,Gain Therapeutics PE Ratio Historical Data,Gain Therapeutics PE Ratio Historical Data,Gain Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.29,,0.0
2024-09-30,1.78,$-1.10,0.0
2024-06-30,1.28,$-1.30,0.0
2024-03-31,3.77,$-1.50,0.0
2023-12-31,3.27,$-1.71,0.0
2023-09-30,3.28,$-1.81,0.0
2023-06-30,4.48,$-1.82,0.0
2023-03-31,4.82,$-1.63,0.0
2022-12-31,3.13,$-1.48,0.0
2022-09-30,3.26,$-1.34,0.0
2022-06-30,3.6,$-1.35,0.0
2022-03-31,4.09,$-1.22,0.0
2021-12-31,5.43,$-1.44,0.0
