Mynd.ai PE Ratio Historical Data,Mynd.ai PE Ratio Historical Data,Mynd.ai PE Ratio Historical Data,Mynd.ai PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.95,,0.33
2024-06-30,2.77,$2.90,0.96
2021-12-31,10.03,$2.30,4.36
2021-09-30,14.44,$4.00,3.61
2021-06-30,22.09,$2.20,10.04
2021-03-31,19.15,$-4.50,0.0
2020-12-31,12.01,$-13.50,0.0
2020-09-30,15.4,$-16.70,0.0
2020-06-30,14.34,$-15.30,0.0
2020-03-31,16.26,$-9.70,0.0
2019-12-31,27.61,$-0.90,0.0
2019-09-30,32.48,$-0.80,0.0
2019-06-30,33.95,$-1.10,0.0
2019-03-31,33.44,$-0.60,0.0
2018-12-31,29.59,$-0.70,0.0
2018-09-30,106.7,$-0.80,0.0
2018-06-30,99.56,$1.30,76.58
