Silexion Therapeutics Corp PE Ratio Historical Data,Silexion Therapeutics Corp PE Ratio Historical Data,Silexion Therapeutics Corp PE Ratio Historical Data,Silexion Therapeutics Corp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.11,,0.0
2024-12-31,2.01,$-71.11,0.0
2024-09-30,0.53,$-71.11,0.0
2024-06-30,11.75,$-52.84,0.0
2024-03-31,11.22,0,0.0
2023-12-31,10.85,0,0.0
2023-09-30,10.87,0,0.0
2023-06-30,10.53,0,0.0
2023-03-31,10.28,0,0.0
2022-12-31,10.07,0,0.0
2022-09-30,9.93,0,0.0
2022-06-30,9.82,0,0.0
2022-03-31,9.78,0,0.0
