Clearway Energy PE Ratio Historical Data,Clearway Energy PE Ratio Historical Data,Clearway Energy PE Ratio Historical Data,Clearway Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,30.04,,40.05
2024-12-31,26.0,$0.75,34.67
2024-09-30,30.24,$1.04,29.08
2024-06-30,23.98,$0.76,31.55
2024-03-31,22.39,$0.66,33.92
2023-12-31,26.16,$0.68,38.47
2023-09-30,19.86,$0.46,43.18
2023-06-30,26.39,$0.71,37.17
2023-03-31,28.57,$5.27,5.42
2022-12-31,28.72,$4.99,5.76
2022-09-30,28.41,$4.82,5.89
2022-06-30,30.78,$4.72,6.52
2022-03-31,31.93,$0.13,245.64
2021-12-31,31.19,$0.44,70.88
2021-09-30,25.97,$0.30,86.55
2021-06-30,22.48,$0.39,57.63
2021-03-31,23.6,$0.50,47.19
2020-12-31,26.46,$0.21,126.01
2020-09-30,22.1,$0.36,61.4
2020-06-30,18.68,$0.45,41.5
2020-03-31,15.08,$-0.18,0.0
2019-12-31,15.85,$-0.10,0.0
2019-09-30,14.35,$-0.67,0.0
2019-06-30,13.11,$-0.83,0.0
2019-03-31,11.59,$0.00,0.0
2018-12-31,13.06,$0.34,38.42
2018-09-30,14.32,$0.25,57.27
2018-06-30,12.59,$0.32,39.34
2018-03-31,12.23,$-0.01,0.0
2017-12-31,13.34,$-0.20,0.0
2017-09-30,13.42,$0.42,31.95
2017-06-30,12.05,$0.45,26.78
2017-03-31,11.94,$0.48,24.88
2016-12-31,10.5,$0.56,18.76
2016-09-30,11.1,$0.81,13.7
2016-06-30,10.06,$0.69,14.58
2016-03-31,9.05,$0.53,17.08
2015-12-31,9.22,$0.41,22.48
2015-09-30,7.14,$0.27,26.44
2015-06-30,13.29,$0.19,69.94
2015-03-31,30.57,$0.17,179.8
2014-12-31,28.4,$0.24,118.35
2014-09-30,28.35,$0.23,123.26
2014-06-30,31.36,$0.13,241.24
