Molecular Templates PE Ratio Historical Data,Molecular Templates PE Ratio Historical Data,Molecular Templates PE Ratio Historical Data,Molecular Templates PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-12-27,0.04,,0.0
2024-06-30,1.15,$-2.70,0.0
2024-03-31,2.24,$-4.32,0.0
2023-12-31,3.73,$-1.55,0.0
2023-09-30,6.32,$-6.67,0.0
2023-06-30,7.2,$-12.44,0.0
2023-03-31,5.7,$-16.19,0.0
2022-12-31,4.92,$-24.74,0.0
2022-09-30,11.25,$-21.59,0.0
2022-06-30,13.67,$-23.09,0.0
2022-03-31,51.75,$-20.69,0.0
2021-12-31,58.8,$-22.64,0.0
2021-09-30,100.65,$-28.49,0.0
2021-06-30,117.3,$-27.44,0.0
2021-03-31,189.3,$-33.43,0.0
2020-12-31,140.85,$-32.98,0.0
2020-09-30,163.8,$-30.58,0.0
2020-06-30,206.85,$-38.98,0.0
2020-03-31,199.35,$-32.53,0.0
2019-12-31,209.78,$-27.89,0.0
2019-09-30,98.85,$-24.44,0.0
2019-06-30,125.25,$-11.84,0.0
2019-03-31,87.15,$-2.70,0.0
2018-12-31,60.6,$-4.95,0.0
2018-09-30,80.85,$-6.15,0.0
2018-06-30,78.45,$-12.59,0.0
2018-03-31,120.0,$-14.69,0.0
2017-12-31,150.3,$-21.44,0.0
2017-09-30,104.55,$-25.79,0.0
2017-06-30,64.85,$-29.69,0.0
2017-03-31,94.05,$-49.48,0.0
2016-12-31,72.77,$-56.08,0.0
2016-09-30,111.79,$94.01,1.19
2016-06-30,104.84,$92.36,1.14
2016-03-31,75.9,$89.06,0.85
2015-12-31,79.18,$79.17,1.0
2015-09-30,671.55,$-82.47,0.0
2015-06-30,666.6,$-92.36,0.0
2015-03-31,669.9,$-92.36,0.0
2014-12-31,524.7,$-87.42,0.0
2014-09-30,595.65,$-89.06,0.0
2014-06-30,653.4,$-77.52,0.0
2014-03-31,785.4,$-94.01,0.0
2013-12-31,770.55,$-97.31,0.0
2013-09-30,767.25,$-92.36,0.0
2013-06-30,867.9,$-89.06,0.0
2013-03-31,760.65,$-59.38,0.0
2012-12-31,694.65,$-412.33,0.0
2012-09-30,1194.6,$-413.98,0.0
2012-06-30,1221.0,$-417.28,0.0
2012-03-31,1452.0,$-437.08,0.0
2011-12-31,201.3,$-95.66,0.0
2011-09-30,237.6,$-108.86,0.0
2011-06-30,275.55,$-125.35,0.0
2011-03-31,254.1,$-100.61,0.0
2010-12-31,222.73,$-92.36,0.0
2010-09-30,209.55,$-85.77,0.0
2010-06-30,206.23,$-122.05,0.0
2010-03-31,306.9,$-188.03,0.0
2009-12-31,297.0,$-229.26,0.0
