W.W Grainger PE Ratio Historical Data,W.W Grainger PE Ratio Historical Data,W.W Grainger PE Ratio Historical Data,W.W Grainger PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,973.66,,25.15
2024-12-31,1054.05,$38.71,27.23
2024-09-30,1037.04,$36.89,28.11
2024-06-30,898.78,$36.45,24.66
2024-03-31,1011.24,$36.22,27.92
2023-12-31,822.16,$36.21,22.71
2023-09-30,684.78,$35.86,19.1
2023-06-30,778.51,$34.70,22.44
2023-03-31,678.14,$32.61,20.8
2022-12-31,546.2,$30.07,18.16
2022-09-30,479.0,$27.97,17.13
2022-06-30,443.59,$25.35,17.5
2022-03-31,501.68,$22.43,22.37
2021-12-31,502.33,$19.84,25.32
2021-09-30,379.69,$17.52,21.67
2021-06-30,421.54,$16.28,25.89
2021-03-31,384.53,$14.11,27.25
2020-12-31,390.01,$12.82,30.42
2020-09-30,339.43,$11.58,29.31
2020-06-30,297.59,$11.42,26.06
2020-03-31,234.21,$13.99,16.74
2019-12-31,317.53,$15.28,20.78
2019-09-30,277.48,$17.08,16.25
2019-06-30,249.13,$14.65,17.01
2019-03-31,278.01,$14.14,19.66
2018-12-31,259.68,$13.73,18.91
2018-09-30,327.18,$12.68,25.8
2018-06-30,281.23,$13.65,20.6
2018-03-31,256.22,$11.16,22.96
2017-12-31,213.43,$10.02,21.3
2017-09-30,161.37,$8.40,19.21
2017-06-30,160.81,$8.66,18.57
2017-03-31,205.93,$9.78,21.06
2016-12-31,204.5,$9.83,20.8
2016-09-30,196.88,$11.12,17.71
2016-06-30,197.89,$10.99,18.01
2016-03-31,202.2,$11.45,17.66
2015-12-31,174.51,$11.54,15.12
2015-09-30,184.18,$11.38,16.18
2015-06-30,201.68,$11.76,17.15
2015-03-31,200.01,$11.45,17.47
2014-12-31,215.22,$11.45,18.8
2014-09-30,211.59,$11.51,18.38
2014-06-30,212.81,$11.16,19.07
2014-03-31,210.56,$11.25,18.72
2013-12-31,212.01,$11.12,19.07
2013-09-30,216.5,$11.09,19.52
2013-06-30,207.87,$10.29,20.2
2013-03-31,184.77,$9.89,18.68
2012-12-31,165.59,$9.52,17.39
2012-09-30,169.81,$9.39,18.08
2012-06-30,155.24,$9.75,15.92
2012-03-31,173.69,$9.46,18.36
2011-12-31,150.86,$9.07,16.63
2011-09-30,120.06,$8.86,13.55
2011-06-30,122.77,$8.41,14.6
2011-03-31,109.51,$7.80,14.04
2010-12-31,109.42,$6.93,15.79
2010-09-30,93.97,$6.37,14.75
2010-06-30,78.09,$6.19,12.62
2010-03-31,84.47,$5.67,14.9
2009-12-31,75.3,$5.61,13.42
