Wrap Technologies PE Ratio Historical Data,Wrap Technologies PE Ratio Historical Data,Wrap Technologies PE Ratio Historical Data,Wrap Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.01,,0.0
2024-09-30,1.5,$-0.42,0.0
2024-06-30,2.0,$-0.53,0.0
2024-03-31,2.26,$-0.63,0.0
2023-12-31,3.1,$-0.73,0.0
2023-09-30,1.5,$-0.38,0.0
2023-06-30,1.46,$-0.40,0.0
2023-03-31,1.72,$-0.40,0.0
2022-12-31,1.69,$-0.43,0.0
2022-09-30,1.71,$-0.47,0.0
2022-06-30,1.86,$-0.53,0.0
2022-03-31,2.7,$-0.61,0.0
2021-12-31,3.93,$-0.62,0.0
2021-09-30,5.99,$-0.59,0.0
2021-06-30,7.85,$-0.55,0.0
2021-03-31,5.56,$-0.44,0.0
2020-12-31,4.83,$-0.38,0.0
2020-09-30,6.77,$-0.37,0.0
2020-06-30,10.48,$-0.34,0.0
2020-03-31,4.26,$-0.32,0.0
2019-12-31,6.39,$-0.29,0.0
2019-09-30,4.08,$-0.20,0.0
