"Five Point Holdings, LLC PE Ratio Historical Data","Five Point Holdings, LLC PE Ratio Historical Data","Five Point Holdings, LLC PE Ratio Historical Data","Five Point Holdings, LLC PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.6,,5.83
2024-12-31,3.78,$0.96,3.94
2024-09-30,4.15,$0.70,5.93
2024-06-30,2.93,$0.72,4.07
2024-03-31,3.13,$0.85,3.68
2023-12-31,3.07,$0.75,4.09
2023-09-30,2.97,$0.51,5.82
2023-06-30,2.89,$0.35,8.26
2023-03-31,2.36,$-0.06,0.0
2022-12-31,2.33,$-0.24,0.0
2022-09-30,2.6,$-0.07,0.0
2022-06-30,3.91,$-0.06,0.0
2022-03-31,6.11,$-0.02,0.0
2021-12-31,6.54,$0.09,72.67
2021-09-30,7.83,$-0.22,0.0
2021-06-30,8.08,$0.09,89.78
2021-03-31,7.56,$0.22,34.36
2020-12-31,5.46,$-0.01,0.0
2020-09-30,4.17,$0.07,59.57
2020-06-30,4.6,$-0.34,0.0
2020-03-31,5.07,$-0.60,0.0
2019-12-31,6.95,$0.12,57.92
2019-09-30,7.5,$-0.19,0.0
2019-06-30,7.52,$-0.18,0.0
2019-03-31,7.21,$-0.10,0.0
2018-12-31,6.94,$-0.55,0.0
2018-09-30,9.41,$0.23,40.91
2018-06-30,11.25,$0.31,36.29
2018-03-31,14.26,$0.20,71.3
