Envirotech Vehicles PE Ratio Historical Data,Envirotech Vehicles PE Ratio Historical Data,Envirotech Vehicles PE Ratio Historical Data,Envirotech Vehicles PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.26,,0.0
2024-09-30,1.8,$-0.63,0.0
2024-06-30,1.91,$-0.95,0.0
2024-03-31,2.7,$-0.98,0.0
2023-12-31,1.36,$-0.84,0.0
2023-09-30,1.58,$-3.32,0.0
2023-06-30,2.1,$-2.91,0.0
2023-03-31,3.15,$-2.90,0.0
2022-12-31,2.13,$-2.95,0.0
2022-09-30,4.66,$-0.46,0.0
2022-06-30,0.1,$-0.47,0.0
2022-03-31,0.1,$-0.40,0.0
2021-12-31,0.1,$-0.20,0.0
2021-09-30,0.1,0,0.0
2021-06-30,0.1,$-0.20,0.0
2021-03-31,0.1,$-0.60,0.0
2020-12-31,0.1,$-1.00,0.0
2020-09-30,0.1,$-1.40,0.0
2020-06-30,0.1,$-1.60,0.0
2020-03-31,0.1,$-1.60,0.0
2019-12-31,0.1,$-1.60,0.0
2019-09-30,0.1,$-1.40,0.0
2019-06-30,0.29,$-1.40,0.0
2019-03-31,0.39,$-2.20,0.0
2018-12-31,0.27,$-3.00,0.0
2018-09-30,0.56,$-2.80,0.0
2018-06-30,1.09,$-6.00,0.0
2018-03-31,1.18,$-7.20,0.0
