Cardinal Health PE Ratio Historical Data,Cardinal Health PE Ratio Historical Data,Cardinal Health PE Ratio Historical Data,Cardinal Health PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,133.08,,24.83
2024-12-31,118.27,$5.36,22.07
2024-09-30,110.02,$5.14,21.4
2024-06-30,97.37,$3.46,28.14
2024-03-31,110.82,$2.25,49.25
2023-12-31,99.38,$2.54,39.13
2023-09-30,84.68,$0.61,138.82
2023-06-30,92.24,$0.99,93.17
2023-03-31,73.25,$1.74,42.1
2022-12-31,74.1,$5.45,13.6
2022-09-30,63.86,$6.12,10.43
2022-06-30,49.69,$6.66,7.46
2022-03-31,53.4,$6.56,8.14
2021-12-31,48.07,$1.91,25.17
2021-09-30,45.74,$3.87,11.82
2021-06-30,52.28,$2.07,25.26
2021-03-31,55.16,$3.90,14.14
2020-12-31,48.24,$4.69,10.29
2020-09-30,41.91,$3.31,12.66
2020-06-30,46.11,$-12.48,0.0
2020-03-31,41.96,$-14.06,0.0
2019-12-31,43.84,$-14.26,0.0
2019-09-30,40.51,$-14.08,0.0
2019-06-30,40.03,$4.51,8.88
2019-03-31,40.51,$0.10,405.05
2018-12-31,37.15,$-0.08,0.0
2018-09-30,44.98,$2.32,19.39
2018-06-30,40.32,$0.74,54.49
2018-03-31,51.26,$5.36,9.56
2017-12-31,49.74,$5.75,8.65
2017-09-30,53.92,$3.44,15.67
2017-06-30,62.35,$4.04,15.43
2017-03-31,64.87,$4.20,15.44
2016-12-31,56.93,$4.17,13.65
2016-09-30,61.09,$4.13,14.79
2016-06-30,60.98,$4.32,14.11
2016-03-31,63.69,$4.18,15.24
2015-12-31,69.05,$4.10,16.84
2015-09-30,59.17,$3.98,14.87
2015-06-30,64.1,$3.61,17.76
2015-03-31,68.86,$3.41,20.19
2014-12-31,61.35,$3.23,18.99
2014-09-30,56.7,$3.17,17.89
2014-06-30,51.65,$3.38,15.28
2014-03-31,52.46,$0.98,53.53
2013-12-31,49.87,$1.07,46.6
2013-09-30,38.75,$1.15,33.7
2013-06-30,34.87,$0.95,36.71
2013-03-31,30.55,$3.35,9.12
2012-12-31,30.03,$3.30,9.1
2012-09-30,28.04,$3.17,8.85
2012-06-30,30.04,$3.06,9.82
2012-03-31,30.66,$2.95,10.39
2011-12-31,28.74,$2.70,10.64
2011-09-30,29.48,$2.56,11.51
2011-06-30,31.81,$2.72,11.69
2011-03-31,28.67,$2.77,10.35
2010-12-31,26.58,$2.68,9.92
2010-09-30,22.81,$2.72,8.38
2010-06-30,23.06,$1.77,13.03
2010-03-31,24.58,$1.90,12.94
2009-12-31,21.89,$2.16,10.14
