Baidu PE Ratio Historical Data,Baidu PE Ratio Historical Data,Baidu PE Ratio Historical Data,Baidu PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,94.27,,11.54
2024-09-30,105.29,$8.17,12.89
2024-06-30,86.48,$7.59,11.39
2024-03-31,105.28,$7.47,14.09
2023-12-31,119.09,$7.72,15.43
2023-09-30,134.35,$8.74,15.37
2023-06-30,136.91,$6.12,22.37
2023-03-31,150.92,$5.66,26.66
2022-12-31,114.38,$2.89,39.58
2022-09-30,117.49,$1.63,72.08
2022-06-30,148.73,$-5.73,0.0
2022-03-31,132.3,$-7.48,0.0
2021-12-31,148.79,$4.23,35.17
2021-09-30,153.75,$5.83,26.37
2021-06-30,203.9,$19.17,10.64
2021-03-31,217.55,$20.89,10.41
2020-12-31,216.24,$9.63,22.45
2020-09-30,126.59,$9.94,12.74
2020-06-30,119.89,$1.51,79.4
2020-03-31,100.79,$1.01,99.79
2019-12-31,126.4,$0.86,146.98
2019-09-30,102.76,$-0.90,0.0
2019-06-30,117.36,$6.80,17.26
2019-03-31,164.85,$8.58,19.21
2018-12-31,158.6,$11.71,13.54
2018-09-30,228.68,$12.75,17.94
2018-06-30,243.0,$11.24,21.62
2018-03-31,223.19,$10.17,21.95
2017-12-31,234.21,$7.86,29.8
2017-09-30,247.69,$7.60,32.59
2017-06-30,178.86,$5.26,34.0
2017-03-31,172.52,$4.64,37.18
2016-12-31,164.41,$4.85,33.9
2016-09-30,182.07,$4.46,40.82
2016-06-30,165.15,$4.82,34.26
2016-03-31,190.88,$4.86,39.28
2015-09-30,137.53,$5.26,26.15
2015-06-30,199.08,$5.38,37.0
2015-03-31,208.4,$4.98,41.85
2012-12-31,100.29,$4.74,21.16
2012-09-30,116.89,$4.39,26.63
2012-06-30,114.98,$3.86,29.79
2012-03-31,145.77,$3.34,43.64
2011-12-31,116.47,$2.96,39.35
2011-09-30,106.91,$2.53,42.26
2011-06-30,140.13,$2.14,65.48
2011-03-31,137.81,$1.77,77.86
2010-12-31,96.53,$1.50,64.27
2010-09-30,102.62,$1.18,86.82
2010-06-30,68.08,$0.94,72.5
2010-03-31,59.7,$0.75,79.6
2009-12-31,41.12,$0.62,65.9
