Acacia Research PE Ratio Historical Data,Acacia Research PE Ratio Historical Data,Acacia Research PE Ratio Historical Data,Acacia Research PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.45,,0.0
2024-12-31,4.34,$-0.22,0.0
2024-09-30,4.66,$0.53,8.79
2024-06-30,5.01,$0.64,7.83
2024-03-31,5.33,$0.36,14.81
2023-12-31,3.92,$0.29,13.52
2023-09-30,3.65,$-0.96,0.0
2023-06-30,4.16,$-0.91,0.0
2023-03-31,3.86,$-1.99,0.0
2022-12-31,4.21,$-3.53,0.0
2022-09-30,4.04,$-2.58,0.0
2022-06-30,5.04,$-1.74,0.0
2022-03-31,4.51,$-0.07,0.0
2021-12-31,5.13,$-1.27,0.0
2021-09-30,6.79,$-0.39,0.0
2021-06-30,6.76,$-0.93,0.0
2021-03-31,6.65,$-1.07,0.0
2020-12-31,3.94,$1.50,2.63
2020-09-30,3.47,$0.12,28.92
2020-06-30,4.09,$-0.35,0.0
2020-03-31,2.22,$-0.56,0.0
2019-12-31,2.66,$-0.41,0.0
2019-09-30,2.68,$-0.59,0.0
2019-06-30,2.96,$-1.11,0.0
2019-03-31,3.26,$-1.56,0.0
2018-12-31,2.98,$-2.10,0.0
2018-09-30,3.2,$-4.05,0.0
2018-06-30,4.15,$-0.25,0.0
2018-03-31,3.5,$0.04,87.5
2017-12-31,4.05,$0.43,9.42
2017-09-30,4.55,$2.40,1.9
2017-06-30,4.1,$-0.57,0.0
2017-03-31,5.75,$-1.10,0.0
2016-12-31,6.5,$-1.06,0.0
2016-09-30,6.52,$-3.18,0.0
2016-06-30,4.4,$-3.89,0.0
2016-03-31,3.79,$-3.16,0.0
2015-12-31,4.29,$-3.23,0.0
2015-09-30,8.91,$-1.24,0.0
2015-06-30,8.49,$-0.95,0.0
2015-03-31,10.25,$-1.14,0.0
2014-12-31,16.06,$-1.38,0.0
2014-09-30,14.57,$-1.73,0.0
2014-06-30,16.59,$-1.80,0.0
2014-03-31,14.17,$-1.79,0.0
2013-12-31,13.38,$-1.17,0.0
2013-09-30,21.04,$-0.28,0.0
2013-06-30,20.28,$-0.08,0.0
2013-03-31,27.23,$0.31,87.84
2012-12-31,23.16,$1.29,17.95
2012-09-30,24.74,$0.92,26.89
2012-06-30,33.61,$1.34,25.08
2012-03-31,37.67,$1.26,29.9
2011-12-31,32.95,$0.51,64.61
2011-09-30,32.48,$0.52,62.47
2011-06-30,33.12,$0.93,35.61
2011-03-31,31.0,$0.76,40.79
2010-12-31,23.41,$0.97,24.14
2010-09-30,15.89,$0.98,16.21
2010-06-30,12.84,$0.12,107.03
2010-03-31,9.78,$0.15,65.17
2009-12-31,8.22,$-0.48,0.0
