Cheniere Energy PE Ratio Historical Data,Cheniere Energy PE Ratio Historical Data,Cheniere Energy PE Ratio Historical Data,Cheniere Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,230.23,,16.18
2024-12-31,214.87,$14.23,15.1
2024-09-30,179.4,$15.66,11.46
2024-06-30,173.99,$18.76,9.27
2024-03-31,160.07,$20.53,7.8
2023-12-31,168.97,$40.50,4.17
2023-09-30,163.85,$50.52,3.24
2023-06-30,150.06,$33.95,4.42
2023-03-31,154.81,$31.24,4.96
2022-12-31,146.92,$5.73,25.64
2022-09-30,162.17,$-15.27,0.0
2022-06-30,129.74,$-10.00,0.0
2022-03-31,134.89,$-14.20,0.0
2021-12-31,98.38,$-9.25,0.0
2021-09-30,94.45,$-4.80,0.0
2021-06-30,83.88,$-2.37,0.0
2021-03-31,69.64,$-0.29,0.0
2020-12-31,58.05,$-0.40,0.0
2020-09-30,44.75,$3.71,12.06
2020-06-30,46.73,$4.30,10.87
2020-03-31,32.4,$3.08,10.52
2019-12-31,59.06,$2.19,26.97
2019-09-30,60.98,$-0.89,0.0
2019-06-30,66.19,$0.62,106.76
2019-03-31,66.11,$0.99,66.77
2018-12-31,57.24,$1.95,29.35
2018-09-30,67.2,$2.23,30.13
2018-06-30,63.04,$0.73,86.36
2018-03-31,51.69,$-0.43,0.0
2017-12-31,52.07,$-1.70,0.0
2017-09-30,43.56,$-1.76,0.0
2017-06-30,47.1,$-0.96,0.0
2017-03-31,45.71,$-1.04,0.0
2016-12-31,40.06,$-2.68,0.0
2016-09-30,42.16,$-4.44,0.0
2016-06-30,36.31,$-5.31,0.0
2016-03-31,32.72,$-4.52,0.0
2015-12-31,36.02,$-4.29,0.0
2015-09-30,46.71,$-3.71,0.0
2015-06-30,66.98,$-2.80,0.0
2015-03-31,74.85,$-3.18,0.0
2014-12-31,68.08,$-2.44,0.0
2014-09-30,77.39,$-2.35,0.0
2014-06-30,69.34,$-2.41,0.0
2014-03-31,53.53,$-1.51,0.0
2013-12-31,41.7,$-1.07,0.0
2013-09-30,33.01,$-0.46,0.0
2013-06-30,26.85,0,0.0
2013-03-31,27.08,0,0.0
2012-12-31,18.16,0,0.0
2012-09-30,15.02,0,0.0
2012-06-30,14.25,0,0.0
2012-03-31,14.49,0,0.0
2011-12-31,8.4,0,0.0
2011-09-30,4.98,0,0.0
2011-06-30,8.86,0,0.0
2011-03-31,9.0,0,0.0
2010-12-31,5.34,0,0.0
2010-09-30,2.44,0,0.0
2010-06-30,2.73,0,0.0
2010-03-31,2.99,0,0.0
2009-12-31,2.34,0,0.0
