Manulife Financial Corp PE Ratio Historical Data,Manulife Financial Corp PE Ratio Historical Data,Manulife Financial Corp PE Ratio Historical Data,Manulife Financial Corp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,30.54,,14.75
2024-12-31,30.71,$2.07,14.84
2024-09-30,29.19,$2.07,14.1
2024-06-30,26.0,$1.73,15.03
2024-03-31,24.14,$1.72,14.03
2023-12-31,21.09,$1.93,10.93
2023-09-30,17.2,$2.00,8.6
2023-06-30,17.53,$2.13,8.23
2023-03-31,16.78,$2.18,7.7
2022-12-31,16.08,$2.82,5.7
2022-09-30,13.93,$2.94,4.74
2022-06-30,15.19,$3.06,4.96
2022-03-31,18.44,$3.72,4.96
2021-12-31,16.27,$2.84,5.73
2021-09-30,16.18,$2.71,5.97
2021-06-30,16.38,$2.85,5.75
2021-03-31,17.69,$2.02,8.76
2020-12-31,14.49,$2.20,6.59
2020-09-30,11.17,$1.97,5.67
2020-06-30,10.78,$1.46,7.39
2020-03-31,9.76,$1.76,5.55
2019-12-31,15.62,$2.09,7.47
2019-09-30,14.0,$1.84,7.61
2019-06-30,13.7,$2.16,6.34
2019-03-31,12.61,$2.08,6.06
2018-12-31,10.47,$1.80,5.81
2018-09-30,13.04,$0.94,13.87
2018-06-30,12.98,$0.79,16.44
2018-03-31,13.31,$0.77,17.28
2017-12-31,14.81,$0.74,20.01
2017-09-30,14.29,$1.40,10.21
2017-06-30,13.11,$1.38,9.5
2017-03-31,12.29,$1.18,10.41
2016-12-31,12.24,$1.05,11.66
2016-09-30,9.62,$1.12,8.59
2016-06-30,9.22,$0.92,10.02
2016-03-31,9.43,$0.91,10.36
2015-12-31,9.89,$0.84,11.78
2015-09-30,10.14,$1.02,9.94
2015-06-30,12.09,$1.30,9.3
2015-03-31,10.98,$1.51,7.27
2014-12-31,12.23,$1.59,7.69
2014-09-30,12.25,$1.93,6.35
2014-06-30,12.55,$1.95,6.44
2014-03-31,12.12,$1.62,7.48
2013-12-31,12.31,$1.50,8.21
2013-09-30,10.27,$1.46,7.03
2013-06-30,9.86,$0.80,12.32
2013-03-31,8.98,$0.50,17.97
2012-12-31,8.22,$0.86,9.56
2012-09-30,7.21,$0.25,28.83
2012-06-30,6.44,$-0.35,0.0
2012-03-31,7.94,$0.10,79.35
2011-12-31,6.16,$0.00,0.0
2011-09-30,6.5,$1.06,6.13
2011-06-30,10.02,$1.25,8.02
2011-03-31,9.97,$-0.35,0.0
2010-12-31,9.61,$-0.23,0.0
2010-09-30,7.01,$-0.76,0.0
2010-06-30,8.0,$-0.32,0.0
2010-03-31,10.73,$2.02,5.31
2009-12-31,9.93,$0.85,11.68
