NetSol Technologies PE Ratio Historical Data,NetSol Technologies PE Ratio Historical Data,NetSol Technologies PE Ratio Historical Data,NetSol Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.4,,0.0
2024-12-31,2.62,$-0.07,0.0
2024-09-30,2.85,$0.07,40.71
2024-06-30,2.54,$0.06,42.33
2024-03-31,2.77,$-0.38,0.0
2023-12-31,2.2,$-0.18,0.0
2023-09-30,1.81,$-0.41,0.0
2023-06-30,2.36,$-0.47,0.0
2023-03-31,2.64,$-0.21,0.0
2022-12-31,2.89,$-0.46,0.0
2022-09-30,3.14,$-0.14,0.0
2022-06-30,3.19,$-0.06,0.0
2022-03-31,3.85,$0.30,12.83
2021-12-31,3.96,$0.27,14.67
2021-09-30,4.58,$0.12,38.17
2021-06-30,4.71,$0.16,29.44
2021-03-31,3.93,$0.09,43.67
2020-12-31,3.8,$0.23,16.52
2020-09-30,2.93,$0.30,9.77
2020-06-30,2.7,$0.08,33.75
2020-03-31,2.5,$0.28,8.93
2019-12-31,4.0,$0.30,13.33
2019-09-30,5.64,$0.50,11.27
2019-06-30,5.59,$0.74,7.55
2019-03-31,6.51,$0.54,12.06
2018-12-31,6.15,$0.68,9.04
2018-09-30,6.6,$0.49,13.47
2018-06-30,5.55,$0.38,14.61
2018-03-31,4.6,$-0.00,0.0
2017-12-31,4.71,$-0.19,0.0
2017-09-30,3.5,$-0.34,0.0
2017-06-30,3.95,$-0.48,0.0
2017-03-31,5.1,$-0.01,0.0
2016-12-31,5.2,$0.01,520.0
2016-09-30,6.26,$0.18,34.78
2016-06-30,5.84,$0.31,18.84
2016-03-31,6.98,$0.05,139.6
2015-12-31,7.76,$-0.20,0.0
2015-09-30,5.02,$-0.42,0.0
2015-06-30,5.15,$-0.58,0.0
2015-03-31,5.77,$-1.30,0.0
2014-12-31,4.17,$-1.27,0.0
2014-09-30,3.7,$-1.31,0.0
2014-06-30,3.88,$-1.23,0.0
2014-03-31,4.64,$-0.09,0.0
2013-12-31,5.83,$0.24,24.29
2013-09-30,10.03,$0.70,14.33
2013-06-30,10.06,$0.94,10.7
2013-03-31,13.17,$0.84,15.68
2012-12-31,5.99,$0.95,6.31
2012-09-30,6.39,$0.73,8.75
2012-06-30,4.38,$0.31,14.13
2012-03-31,3.7,$-0.14,0.0
2011-12-31,4.15,$0.16,25.94
2011-09-30,5.73,$0.50,11.46
2011-06-30,17.4,$1.20,14.5
2011-03-31,18.8,$1.80,10.44
2010-12-31,18.7,$1.40,13.36
2010-09-30,16.1,$0.90,17.89
2010-06-30,7.31,$0.40,18.28
2010-03-31,8.7,$-0.30,0.0
2009-12-31,10.7,$-2.40,0.0
