Enanta Pharmaceuticals PE Ratio Historical Data,Enanta Pharmaceuticals PE Ratio Historical Data,Enanta Pharmaceuticals PE Ratio Historical Data,Enanta Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.44,,0.0
2024-12-31,5.75,$-4.95,0.0
2024-09-30,10.36,$-5.48,0.0
2024-06-30,12.97,$-5.45,0.0
2024-03-31,17.46,$-6.24,0.0
2023-12-31,9.41,$-6.56,0.0
2023-09-30,11.17,$-6.37,0.0
2023-06-30,21.4,$-6.31,0.0
2023-03-31,40.44,$-5.98,0.0
2022-12-31,46.52,$-5.82,0.0
2022-09-30,51.87,$-5.91,0.0
2022-06-30,47.27,$-5.86,0.0
2022-03-31,71.18,$-5.52,0.0
2021-12-31,74.78,$-4.98,0.0
2021-09-30,56.81,$-3.91,0.0
2021-06-30,44.01,$-4.15,0.0
2021-03-31,49.32,$-3.67,0.0
2020-12-31,42.1,$-2.88,0.0
2020-09-30,45.78,$-1.82,0.0
2020-06-30,50.21,$0.08,627.62
2020-03-31,51.43,$1.12,45.92
2019-12-31,61.78,$1.62,38.14
2019-09-30,60.08,$2.22,27.06
2019-06-30,84.38,$3.08,27.4
2019-03-31,95.52,$3.72,25.68
2018-12-31,70.83,$4.13,17.15
2018-09-30,85.46,$3.47,24.63
2018-06-30,115.9,$4.03,28.76
2018-03-31,80.91,$2.62,30.88
2017-12-31,58.68,$1.73,33.92
2017-09-30,46.8,$0.88,53.18
2017-06-30,35.98,$-1.07,0.0
2017-03-31,30.8,$-0.69,0.0
2016-12-31,33.5,$-0.50,0.0
2016-09-30,26.61,$1.12,23.76
2016-06-30,22.05,$1.50,14.7
2016-03-31,29.37,$1.69,17.38
2015-12-31,33.02,$3.27,10.1
2015-09-30,36.14,$4.09,8.84
2015-06-30,44.99,$3.53,12.75
2015-03-31,30.62,$6.01,5.09
2014-12-31,50.85,$4.24,11.99
2014-09-30,39.57,$1.76,22.48
2014-06-30,43.07,$1.78,24.2
2014-03-31,39.99,$-1.06,0.0
2013-12-31,27.28,$-3.06,0.0
