VICI Properties PE Ratio Historical Data,VICI Properties PE Ratio Historical Data,VICI Properties PE Ratio Historical Data,VICI Properties PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,32.01,,12.5
2024-12-31,29.21,$2.56,11.41
2024-09-30,33.31,$2.70,12.34
2024-06-30,28.27,$2.55,11.09
2024-03-31,28.98,$2.53,11.45
2023-12-31,30.57,$2.48,12.33
2023-09-30,27.54,$2.39,11.52
2023-06-30,29.35,$2.18,13.46
2023-03-31,30.08,$1.43,21.03
2022-12-31,29.5,$1.26,23.41
2022-09-30,26.86,$1.07,25.1
2022-06-30,26.48,$1.01,26.22
2022-03-31,24.99,$1.61,15.52
2021-12-31,26.09,$1.76,14.83
2021-09-30,24.31,$1.85,13.14
2021-06-30,26.23,$2.31,11.36
2021-03-31,23.63,$2.24,10.55
2020-12-31,21.08,$1.69,12.47
2020-09-30,19.08,$1.37,13.93
2020-06-30,16.25,$0.94,17.29
2020-03-31,13.2,$0.84,15.71
2019-12-31,19.9,$1.26,15.79
2019-09-30,17.43,$1.42,12.28
2019-06-30,16.74,$1.46,11.47
2019-03-31,16.4,$1.47,11.16
2018-12-31,13.89,$1.43,9.72
