News PE Ratio Historical Data,News PE Ratio Historical Data,News PE Ratio Historical Data,News PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,27.16,,37.21
2024-12-31,27.54,$0.73,37.73
2024-09-30,26.63,$0.62,42.95
2024-06-30,27.46,$0.46,59.7
2024-03-31,26.08,$0.36,72.44
2023-12-31,24.36,$0.40,60.91
2023-09-30,19.91,$0.25,79.63
2023-06-30,19.26,$0.27,71.33
2023-03-31,17.06,$0.47,36.29
2022-12-31,17.86,$0.52,34.35
2022-09-30,14.83,$0.80,18.54
2022-06-30,15.2,$1.06,14.34
2022-03-31,21.61,$0.85,25.43
2021-12-31,21.66,$0.84,25.79
2021-09-30,22.85,$0.83,27.53
2021-06-30,24.91,$0.56,44.48
2021-03-31,24.58,$-0.09,0.0
2020-12-31,17.31,$-1.46,0.0
2020-09-30,13.5,$-1.71,0.0
2020-06-30,11.35,$-2.16,0.0
2020-03-31,8.59,$-1.58,0.0
2019-12-31,13.41,$-0.32,0.0
2019-09-30,13.2,$-0.30,0.0
2019-06-30,12.7,$0.26,48.85
2019-03-31,11.71,$-0.29,0.0
2018-12-31,10.69,$-2.25,0.0
2018-09-30,12.42,$-2.55,0.0
2018-06-30,14.48,$-2.60,0.0
2018-03-31,14.76,$-2.70,0.0
2017-12-31,15.05,$-0.77,0.0
2017-09-30,12.31,$-1.13,0.0
2017-06-30,12.62,$-1.28,0.0
2017-03-31,11.98,$-0.39,0.0
2016-12-31,10.47,$-0.64,0.0
2016-09-30,12.78,$-0.03,0.0
2016-06-30,10.3,$0.30,34.33
2016-03-31,11.59,$-0.50,0.0
2015-12-31,12.02,$-0.20,0.0
2015-09-30,11.35,$-0.07,0.0
2015-06-30,13.02,$-0.26,0.0
2015-03-31,14.29,$0.41,34.85
2014-12-31,14.0,$0.45,31.12
2014-09-30,14.59,$0.47,31.05
2014-06-30,16.01,$0.41,39.06
2014-03-31,15.37,$-1.55,0.0
