Revance Therapeutics PE Ratio Historical Data,Revance Therapeutics PE Ratio Historical Data,Revance Therapeutics PE Ratio Historical Data,Revance Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-12-20,3.09,,0.0
2024-09-30,5.19,$-1.93,0.0
2024-06-30,2.57,$-3.19,0.0
2024-03-31,4.92,$-3.63,0.0
2023-12-31,8.79,$-3.79,0.0
2023-09-30,11.47,$-4.99,0.0
2023-06-30,25.31,$-4.53,0.0
2023-03-31,32.21,$-4.61,0.0
2022-12-31,18.46,$-4.81,0.0
2022-09-30,27.0,$-3.92,0.0
2022-06-30,13.82,$-3.85,0.0
2022-03-31,19.5,$-4.04,0.0
2021-12-31,16.32,$-4.18,0.0
2021-09-30,27.86,$-4.49,0.0
2021-06-30,29.64,$-4.73,0.0
2021-03-31,27.95,$-4.78,0.0
2020-12-31,28.34,$-4.85,0.0
2020-09-30,25.14,$-4.60,0.0
2020-06-30,24.42,$-4.22,0.0
2020-03-31,14.8,$-3.96,0.0
2019-12-31,16.23,$-3.66,0.0
2019-09-30,13.0,$-3.79,0.0
2019-06-30,12.97,$-3.74,0.0
2019-03-31,15.76,$-3.82,0.0
2018-12-31,20.13,$-3.94,0.0
2018-09-30,24.85,$-3.96,0.0
2018-06-30,27.45,$-4.06,0.0
2018-03-31,30.8,$-4.02,0.0
2017-12-31,35.75,$-3.99,0.0
2017-09-30,27.55,$-3.80,0.0
2017-06-30,26.4,$-3.43,0.0
2017-03-31,20.8,$-3.41,0.0
2016-12-31,20.7,$-3.18,0.0
2016-09-30,16.21,$-3.06,0.0
2016-06-30,13.6,$-3.23,0.0
2016-03-31,17.46,$-3.06,0.0
2015-12-31,34.16,$-3.00,0.0
2015-09-30,29.76,$-2.77,0.0
2015-06-30,31.98,$-2.56,0.0
2015-03-31,20.73,$-2.54,0.0
2014-12-31,16.94,$-3.82,0.0
