Sidus Space PE Ratio Historical Data,Sidus Space PE Ratio Historical Data,Sidus Space PE Ratio Historical Data,Sidus Space PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.67,,0.0
2024-09-30,2.8,$-3.32,0.0
2024-06-30,2.34,$-7.39,0.0
2024-03-31,3.39,$-13.40,0.0
2023-12-31,8.81,$-24.00,0.0
2023-09-30,0.14,$-47.00,0.0
2023-06-30,0.18,$-65.00,0.0
2023-03-31,0.55,$-73.00,0.0
2022-12-31,1.09,$-75.00,0.0
2022-09-30,2.11,$-52.00,0.0
