Stronghold Digital Mining PE Ratio Historical Data,Stronghold Digital Mining PE Ratio Historical Data,Stronghold Digital Mining PE Ratio Historical Data,Stronghold Digital Mining PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-18,2.81,,0.0
2024-09-30,5.05,$-3.70,0.0
2024-06-30,4.29,$-4.62,0.0
2024-03-31,4.15,$-4.72,0.0
2023-12-31,7.3,$-11.57,0.0
2023-09-30,4.35,$-17.51,0.0
2023-06-30,4.18,$-27.95,0.0
2023-03-31,0.62,$-34.80,0.0
2022-12-31,0.48,$-34.90,0.0
2022-09-30,1.04,$-32.70,0.0
