Cel-Sci PE Ratio Historical Data,Cel-Sci PE Ratio Historical Data,Cel-Sci PE Ratio Historical Data,Cel-Sci PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.27,,0.0
2024-12-31,0.4,$-0.48,0.0
2024-09-30,1.06,$-0.51,0.0
2024-06-30,1.16,$-0.58,0.0
2024-03-31,1.91,$-0.63,0.0
2023-12-31,2.72,$-0.68,0.0
2023-09-30,1.25,$-0.72,0.0
2023-06-30,2.41,$-0.77,0.0
2023-03-31,2.32,$-0.81,0.0
2022-12-31,2.35,$-0.85,0.0
2022-09-30,3.09,$-0.87,0.0
2022-06-30,4.5,$-0.85,0.0
2022-03-31,3.93,$-0.87,0.0
2021-12-31,7.1,$-0.92,0.0
2021-09-30,10.99,$-0.93,0.0
2021-06-30,8.68,$-0.88,0.0
2021-03-31,15.21,$-0.90,0.0
2020-12-31,11.66,$-0.87,0.0
2020-09-30,12.75,$-0.82,0.0
2020-06-30,14.92,$-0.81,0.0
2020-03-31,11.54,$-0.91,0.0
2019-12-31,9.15,$-0.88,0.0
2019-09-30,8.94,$-0.70,0.0
2019-06-30,8.38,$-1.27,0.0
2019-03-31,3.54,$-1.26,0.0
2018-12-31,2.87,$-1.35,0.0
2018-09-30,4.05,$-1.90,0.0
2018-06-30,0.92,$-1.78,0.0
2018-03-31,1.41,$-1.95,0.0
2017-12-31,1.89,$-2.89,0.0
2017-09-30,1.66,$-2.11,0.0
2017-06-30,2.23,$-1.78,0.0
2017-03-31,2.14,$-2.00,0.0
2016-12-31,1.68,$-2.50,0.0
2016-09-30,7.63,$-2.25,0.0
2016-06-30,11.5,$-4.50,0.0
2016-03-31,13.25,$-5.25,0.0
2015-12-31,9.25,$-7.75,0.0
2015-09-30,15.0,$-11.00,0.0
2015-06-30,16.5,$-11.25,0.0
2015-03-31,26.25,$-12.50,0.0
2014-12-31,14.53,$-14.25,0.0
2014-09-30,22.79,$-15.25,0.0
2014-06-30,31.0,$-16.50,0.0
2014-03-31,38.0,$-18.75,0.0
2013-12-31,14.8,$-15.25,0.0
2013-09-30,42.5,$-16.50,0.0
2013-06-30,53.28,$-15.00,0.0
2013-03-31,57.63,$-10.00,0.0
2012-12-31,67.5,$-17.50,0.0
2012-09-30,86.25,$-17.50,0.0
2012-06-30,93.95,$-17.50,0.0
2012-03-31,120.0,$-22.50,0.0
2011-12-31,72.48,$-32.50,0.0
2011-09-30,91.25,$-35.00,0.0
2011-06-30,124.43,$-40.00,0.0
2011-03-31,157.5,$-37.50,0.0
2010-12-31,205.25,$-20.00,0.0
2010-09-30,161.0,$-7.50,0.0
2010-06-30,122.5,$-57.50,0.0
2010-03-31,162.5,$-67.50,0.0
2009-12-31,225.0,$-70.00,0.0
