Adverum Biotechnologies PE Ratio Historical Data,Adverum Biotechnologies PE Ratio Historical Data,Adverum Biotechnologies PE Ratio Historical Data,Adverum Biotechnologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.6,,0.0
2024-09-30,7.02,$-5.99,0.0
2024-06-30,6.86,$-7.99,0.0
2024-03-31,14.14,$-10.20,0.0
2023-12-31,7.53,$-11.60,0.0
2023-09-30,15.0,$-12.60,0.0
2023-06-30,15.9,$-13.30,0.0
2023-03-31,7.17,$-14.60,0.0
2022-12-31,5.8,$-15.50,0.0
2022-09-30,9.5,$-15.70,0.0
2022-06-30,12.0,$-15.60,0.0
2022-03-31,13.1,$-15.70,0.0
2021-12-31,17.6,$-14.80,0.0
2021-09-30,21.7,$-15.20,0.0
2021-06-30,35.0,$-14.40,0.0
2021-03-31,98.6,$-13.50,0.0
2020-12-31,108.4,$-13.70,0.0
2020-09-30,103.0,$-12.70,0.0
2020-06-30,208.8,$-12.10,0.0
2020-03-31,97.7,$-10.80,0.0
2019-12-31,115.2,$-10.00,0.0
2019-09-30,54.5,$-9.60,0.0
2019-06-30,118.9,$-10.50,0.0
2019-03-31,52.4,$-11.20,0.0
2018-12-31,31.5,$-11.90,0.0
2018-09-30,60.5,$-12.60,0.0
2018-06-30,53.0,$-12.40,0.0
2018-03-31,58.0,$-12.10,0.0
2017-12-31,35.0,$-12.90,0.0
2017-09-30,36.5,$-15.10,0.0
2017-06-30,25.0,$-15.40,0.0
2017-03-31,27.0,$-30.30,0.0
