AAR PE Ratio Historical Data,AAR PE Ratio Historical Data,AAR PE Ratio Historical Data,AAR PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,67.81,,242.18
2024-11-30,69.52,$0.28,248.29
2024-08-31,65.78,$1.82,36.14
2024-05-31,70.99,$1.30,54.61
2024-02-29,66.78,$1.70,39.28
2023-11-30,69.3,$1.93,35.91
2023-08-31,61.6,$1.90,32.42
2023-05-31,50.11,$2.55,19.65
2023-02-28,54.39,$2.55,21.33
2022-11-30,46.56,$2.56,18.19
2022-08-31,42.88,$2.50,17.15
2022-05-31,48.22,$2.19,22.02
2022-02-28,44.94,$1.92,23.41
2021-11-30,32.66,$2.08,15.7
2021-08-31,33.85,$1.73,19.57
2021-05-31,41.75,$0.99,42.17
2021-02-28,39.78,$0.13,306.0
2020-11-30,28.37,$-0.60,0.0
2020-08-31,20.18,$-0.43,0.0
2020-05-31,20.17,$0.12,168.08
2020-02-29,34.41,$1.24,27.75
2019-11-30,44.43,$0.10,444.32
2019-08-31,42.63,$-0.10,0.0
2019-05-31,29.81,$0.20,149.04
2019-02-28,36.11,$-0.11,0.0
2018-11-30,43.1,$1.41,30.57
2018-08-31,45.96,$0.55,83.56
2018-05-31,43.94,$0.43,102.19
2018-02-28,41.79,$0.71,58.86
2017-11-30,40.74,$0.67,60.8
2017-08-31,35.26,$1.68,20.99
2017-05-31,34.1,$1.65,20.66
2017-02-28,33.52,$1.38,24.29
2016-11-30,35.84,$1.12,32.0
2016-08-31,23.85,$1.00,23.85
2016-05-31,23.59,$1.37,17.22
2016-02-29,20.51,$1.38,14.86
2015-11-30,23.58,$0.36,65.49
2015-08-31,23.28,$0.51,45.64
2015-05-31,28.18,$0.22,128.11
2015-02-28,27.98,$0.29,96.5
2014-11-30,24.33,$1.62,15.02
2014-08-31,26.21,$1.74,15.07
2014-05-31,22.93,$1.83,12.53
2014-02-28,27.2,$1.41,19.29
2013-11-30,29.3,$1.42,20.63
2013-08-31,23.48,$1.36,17.27
2013-05-31,18.72,$1.36,13.77
2013-02-28,16.33,$1.67,9.78
2012-11-30,14.22,$1.71,8.32
2012-08-31,13.71,$1.70,8.07
2012-05-31,11.04,$1.66,6.65
2012-02-29,20.11,$1.86,10.81
2011-11-30,16.6,$1.80,9.22
2011-08-31,21.35,$1.79,11.93
2011-05-31,23.83,$1.73,13.77
2011-02-28,24.57,$1.50,16.38
2010-11-30,22.11,$1.32,16.75
2010-08-31,13.83,$1.24,11.15
2010-05-31,17.73,$1.16,15.29
2010-02-28,20.42,$1.36,15.01
2009-11-30,16.8,$1.57,10.7
