Lamb Weston PE Ratio Historical Data,Lamb Weston PE Ratio Historical Data,Lamb Weston PE Ratio Historical Data,Lamb Weston PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,52.75,,20.85
2024-11-30,77.24,$2.53,30.53
2024-08-31,61.63,$4.26,14.47
2024-05-31,87.33,$4.98,17.54
2024-02-29,100.67,$7.49,13.44
2023-11-30,98.18,$7.69,12.77
2023-08-31,95.33,$6.92,13.78
2023-05-31,108.53,$6.92,15.68
2023-02-28,97.97,$3.74,26.2
2022-11-30,84.35,$3.26,25.88
2022-08-31,76.98,$2.77,27.79
2022-05-31,65.21,$1.37,47.6
2022-02-28,63.86,$1.59,40.16
2021-11-30,49.72,$1.31,37.95
2021-08-31,62.13,$1.75,35.5
2021-05-31,78.38,$2.16,36.29
2021-02-28,75.56,$1.71,44.19
2020-11-30,68.36,$2.02,33.84
2020-08-31,59.16,$2.31,25.61
2020-05-31,56.33,$2.49,22.62
2020-02-29,81.16,$3.25,24.97
2019-11-30,78.24,$3.44,22.74
2019-08-31,65.41,$3.23,20.25
2019-05-31,54.9,$3.17,17.32
2019-02-28,64.02,$3.10,20.65
2018-11-30,70.65,$3.21,22.01
2018-08-31,62.12,$2.99,20.78
2018-05-31,58.42,$2.82,20.72
2018-02-28,49.42,$2.65,18.65
2017-11-30,49.51,$2.16,22.92
2017-08-31,41.27,$2.23,18.51
