RealReal PE Ratio Historical Data,RealReal PE Ratio Historical Data,RealReal PE Ratio Historical Data,RealReal PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.3,,0.0
2024-12-31,10.93,$-1.29,0.0
2024-09-30,3.14,$-0.88,0.0
2024-06-30,3.19,$-0.93,0.0
2024-03-31,3.91,$-1.14,0.0
2023-12-31,2.01,$-1.67,0.0
2023-09-30,2.11,$-1.85,0.0
2023-06-30,2.22,$-2.12,0.0
2023-03-31,1.26,$-2.27,0.0
2022-12-31,1.25,$-2.05,0.0
2022-09-30,1.5,$-2.22,0.0
2022-06-30,2.49,$-2.35,0.0
2022-03-31,7.26,$-2.57,0.0
2021-12-31,11.61,$-2.58,0.0
2021-09-30,13.18,$-2.62,0.0
2021-06-30,19.76,$-2.49,0.0
2021-03-31,22.63,$-2.20,0.0
2020-12-31,19.54,$-2.02,0.0
2020-09-30,14.47,$-1.67,0.0
2020-06-30,12.79,$-1.48,0.0
2020-03-31,7.01,$-3.82,0.0
