Magyar Bancorp PE Ratio Historical Data,Magyar Bancorp PE Ratio Historical Data,Magyar Bancorp PE Ratio Historical Data,Magyar Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.4,,10.99
2024-12-31,14.6,$1.31,11.15
2024-09-30,12.32,$1.24,9.94
2024-06-30,11.24,$1.17,9.61
2024-03-31,11.12,$1.20,9.27
2023-12-31,11.23,$1.18,9.51
2023-09-30,10.25,$1.20,8.54
2023-06-30,10.34,$1.22,8.48
2023-03-31,10.6,$1.23,8.62
2022-12-31,12.82,$1.20,10.68
2022-09-30,12.43,$1.17,10.62
2022-06-30,11.82,$1.04,11.37
2022-03-31,11.74,$1.02,11.51
2021-12-31,12.18,$1.03,11.83
2021-09-30,11.25,$1.01,11.14
2021-06-30,13.56,$0.92,14.74
2021-03-31,13.51,$0.72,18.77
2020-12-31,9.47,$0.51,18.57
2020-09-30,8.2,$0.38,21.57
2020-06-30,8.79,$0.38,23.14
2020-03-31,8.84,$0.41,21.57
2019-12-31,12.09,$0.49,24.67
2019-09-30,11.53,$0.51,22.6
2019-06-30,11.89,$0.49,24.27
2019-03-31,11.06,$0.47,23.54
2018-12-31,12.04,$0.41,29.36
2018-09-30,11.95,$0.35,34.14
2018-06-30,12.66,$0.31,40.83
2018-03-31,12.53,$0.26,48.19
2017-12-31,12.58,$0.24,52.41
2017-09-30,12.04,$0.24,50.16
2017-06-30,12.89,$0.22,58.6
2017-03-31,12.77,$0.21,60.83
2016-12-31,11.79,$0.19,62.06
2016-09-30,9.91,$0.18,55.08
2016-06-30,9.73,$0.18,54.05
2016-03-31,9.71,$0.18,53.94
2015-12-31,9.84,$0.18,54.65
2015-09-30,9.63,$0.16,60.19
2015-06-30,9.48,$0.13,72.94
2015-03-31,8.27,$0.12,68.95
2014-12-31,8.29,$0.10,82.93
2014-09-30,8.35,$0.09,92.8
2014-06-30,7.89,$0.08,98.63
2014-03-31,8.06,$0.08,100.72
2013-12-31,7.33,$0.01,733.05
2013-09-30,7.29,$0.04,182.28
2013-06-30,5.9,$0.07,84.23
2013-03-31,5.16,$0.07,73.7
2012-12-31,4.13,$0.13,31.74
2012-09-30,4.61,$0.09,51.26
2012-06-30,3.93,$0.03,131.02
2012-03-31,5.06,0,0.0
2011-12-31,2.42,$-0.06,0.0
2011-09-30,3.41,$-0.05,0.0
2011-06-30,4.07,$-0.02,0.0
2011-03-31,4.23,$0.59,7.16
2010-12-31,3.93,$0.70,5.62
2010-09-30,3.49,$0.68,5.13
2010-06-30,3.68,$0.68,5.4
2010-03-31,3.94,$-0.41,0.0
2009-12-31,3.93,$-0.39,0.0
