Marsh & McLennan PE Ratio Historical Data,Marsh & McLennan PE Ratio Historical Data,Marsh & McLennan PE Ratio Historical Data,Marsh & McLennan PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,233.37,,28.49
2024-12-31,212.41,$8.19,25.94
2024-09-30,222.27,$8.12,27.37
2024-06-30,209.16,$8.08,25.89
2024-03-31,203.75,$7.88,25.86
2023-12-31,186.75,$7.53,24.8
2023-09-30,186.87,$6.94,26.93
2023-06-30,184.01,$6.55,28.09
2023-03-31,162.38,$6.39,25.41
2022-12-31,160.79,$6.02,26.71
2022-09-30,144.51,$6.66,21.7
2022-06-30,149.72,$6.63,22.58
2022-03-31,163.84,$6.32,25.92
2021-12-31,166.53,$6.13,27.17
2021-09-30,144.58,$5.29,27.33
2021-06-30,133.83,$4.86,27.54
2021-03-31,115.43,$4.38,26.35
2020-12-31,110.42,$3.95,27.95
2020-09-30,107.81,$3.98,27.09
2020-06-30,100.51,$3.95,25.45
2020-03-31,80.52,$3.48,23.14
2019-12-31,103.34,$3.40,30.4
2019-09-30,92.37,$2.94,31.42
2019-06-30,91.68,$2.89,31.72
2019-03-31,85.92,$3.28,26.2
2018-12-31,72.97,$3.22,22.66
2018-09-30,75.31,$2.98,25.27
2018-06-30,74.26,$3.20,23.21
2018-03-31,74.48,$3.12,23.87
2017-12-31,73.07,$2.87,25.46
2017-09-30,74.9,$3.65,20.52
2017-06-30,69.67,$3.62,19.25
2017-03-31,65.73,$3.56,18.46
2016-12-31,59.83,$3.38,17.7
2016-09-30,59.22,$3.25,18.22
2016-06-30,59.98,$3.13,19.16
2016-03-31,52.99,$3.00,17.66
2015-12-31,48.05,$2.97,16.18
2015-09-30,44.99,$2.80,16.07
2015-06-30,48.58,$2.73,17.79
2015-03-31,47.82,$2.73,17.52
2014-12-31,48.56,$2.65,18.33
2014-09-30,44.16,$2.65,16.67
2014-06-30,43.49,$2.56,16.99
2014-03-31,41.16,$2.48,16.6
2013-12-31,40.15,$2.42,16.59
2013-09-30,35.95,$2.35,15.3
2013-06-30,32.75,$2.34,14.0
2013-03-31,30.96,$2.24,13.82
2012-12-31,27.92,$2.13,13.11
2012-09-30,27.3,$2.13,12.82
2012-06-30,25.75,$1.93,13.34
2012-03-31,26.02,$1.84,14.14
2011-12-31,24.92,$1.79,13.92
2011-09-30,20.76,$1.69,12.28
2011-06-30,24.22,$1.75,13.84
2011-03-31,22.98,$1.68,13.68
2010-12-31,20.92,$1.56,13.41
2010-09-30,18.29,$1.26,14.52
2010-06-30,16.96,$1.38,12.29
2010-03-31,18.21,$0.58,31.4
2009-12-31,16.32,$0.46,35.47
