Culp PE Ratio Historical Data,Culp PE Ratio Historical Data,Culp PE Ratio Historical Data,Culp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.33,,0.0
2025-01-31,5.39,$-1.75,0.0
2024-10-31,5.31,$-1.68,0.0
2024-07-31,5.06,$-1.42,0.0
2024-04-30,4.56,$-1.11,0.0
2024-01-31,4.96,$-1.10,0.0
2023-10-31,5.47,$-1.57,0.0
2023-07-31,5.7,$-2.37,0.0
2023-04-30,5.46,$-2.57,0.0
2023-01-31,5.2,$-2.68,0.0
2022-10-31,5.02,$-1.97,0.0
2022-07-31,5.02,$-0.91,0.0
2022-04-30,6.46,$-0.26,0.0
2022-01-31,8.92,$0.35,25.48
2021-10-31,12.88,$0.54,23.84
2021-07-31,14.45,$0.66,21.89
2021-04-30,13.56,$0.26,52.14
2021-01-31,14.68,$-2.12,0.0
2020-10-31,11.72,$-2.29,0.0
2020-07-31,10.4,$-2.29,0.0
2020-04-30,6.59,$-1.96,0.0
2020-01-31,11.53,$0.19,60.7
2019-10-31,14.02,$0.44,31.86
2019-07-31,16.18,$0.48,33.71
2019-04-30,18.38,$0.45,40.85
2019-01-31,17.02,$1.56,10.91
2018-10-31,20.63,$1.25,16.5
2018-07-31,22.02,$1.34,16.43
2018-04-30,26.14,$1.66,15.75
2018-01-31,28.05,$1.15,24.39
2017-10-31,27.88,$1.72,16.21
2017-07-31,26.32,$1.76,14.96
2017-04-30,27.92,$1.79,15.6
2017-01-31,27.94,$1.59,17.57
2016-10-31,24.24,$1.47,16.49
2016-07-31,24.64,$1.41,17.48
2016-04-30,22.44,$1.36,16.5
2016-01-31,21.59,$1.46,14.79
2015-10-31,25.52,$1.38,18.49
2015-07-31,25.67,$1.32,19.45
2015-04-30,21.61,$1.21,17.86
2015-01-31,16.76,$1.04,16.12
2014-10-31,15.78,$1.41,11.19
2014-07-31,15.03,$1.42,10.59
2014-04-30,14.6,$1.41,10.35
2014-01-31,16.31,$1.49,10.94
2013-10-31,15.57,$1.04,14.97
2013-07-31,15.45,$1.46,10.58
2013-04-30,13.01,$1.48,8.79
2013-01-31,14.0,$1.45,9.65
2012-10-31,9.77,$1.36,7.18
2012-07-31,7.71,$1.18,6.53
2012-04-30,8.8,$1.04,8.46
2012-01-31,7.0,$1.22,5.74
2011-10-31,6.6,$1.26,5.24
2011-07-31,6.85,$1.07,6.41
2011-04-30,7.74,$1.21,6.4
2011-01-31,7.68,$1.17,6.56
2010-10-31,7.79,$1.22,6.39
2010-07-31,8.01,$1.14,7.02
2010-04-30,9.17,$1.01,9.08
2010-01-31,10.0,$0.73,13.69
2009-10-31,4.42,$0.46,9.6
