Voyager Therapeutics PE Ratio Historical Data,Voyager Therapeutics PE Ratio Historical Data,Voyager Therapeutics PE Ratio Historical Data,Voyager Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.88,,0.0
2024-12-31,5.67,$-0.54,0.0
2024-09-30,5.85,$0.71,8.24
2024-06-30,7.91,$0.28,28.25
2024-03-31,9.31,$-0.05,0.0
2023-12-31,8.44,$3.09,2.73
2023-09-30,7.75,$1.23,6.3
2023-06-30,11.45,$2.27,5.04
2023-03-31,7.71,$2.28,3.38
2022-12-31,6.1,$-1.22,0.0
2022-09-30,5.92,$-0.46,0.0
2022-06-30,5.91,$-1.58,0.0
2022-03-31,7.62,$-1.88,0.0
2021-12-31,2.71,$-1.90,0.0
2021-09-30,2.63,$-2.48,0.0
2021-06-30,4.13,$0.46,8.98
2021-03-31,4.71,$1.03,4.57
2020-12-31,7.15,$0.95,7.53
2020-09-30,10.67,$1.04,10.26
2020-06-30,12.62,$-1.64,0.0
2020-03-31,9.15,$-1.12,0.0
2019-12-31,13.95,$-1.27,0.0
2019-09-30,17.21,$-1.63,0.0
2019-06-30,27.22,$-1.85,0.0
2019-03-31,19.14,$-2.94,0.0
2018-12-31,9.4,$-2.76,0.0
2018-09-30,18.92,$-2.46,0.0
2018-06-30,19.54,$-2.72,0.0
2018-03-31,18.79,$-2.65,0.0
2017-12-31,16.6,$-2.67,0.0
2017-09-30,20.59,$-2.84,0.0
2017-06-30,8.96,$-2.30,0.0
2017-03-31,13.24,$-1.94,0.0
2016-12-31,12.74,$-1.58,0.0
2016-09-30,12.01,$-1.68,0.0
