Eagle Bancorp PE Ratio Historical Data,Eagle Bancorp PE Ratio Historical Data,Eagle Bancorp PE Ratio Historical Data,Eagle Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,21.58,,0.0
2024-12-31,26.03,$-1.57,0.0
2024-09-30,22.42,$-1.40,0.0
2024-06-30,18.39,$-1.21,0.0
2024-03-31,22.37,$2.51,8.91
2023-12-31,28.25,$3.30,8.56
2023-09-30,19.64,$3.95,4.97
2023-06-30,19.04,$4.20,4.53
2023-03-31,29.7,$4.04,7.35
2022-12-31,38.71,$4.68,8.27
2022-09-30,38.98,$4.66,8.37
2022-06-30,40.85,$4.86,8.4
2022-03-31,48.75,$5.58,8.74
2021-12-31,49.58,$5.52,8.98
2021-09-30,48.53,$5.43,8.94
2021-06-30,47.03,$5.35,8.79
2021-03-31,44.41,$4.75,9.35
2020-12-31,34.31,$4.09,8.39
2020-09-30,22.09,$3.94,5.61
2020-06-30,26.8,$3.73,7.18
2020-03-31,24.54,$3.91,6.28
2019-12-31,39.33,$4.19,9.39
2019-09-30,35.9,$4.30,8.35
2019-06-30,43.55,$4.36,9.99
2019-03-31,40.23,$4.36,9.23
2018-12-31,39.03,$4.42,8.83
2018-09-30,40.55,$3.70,10.96
2018-06-30,49.12,$3.44,14.28
2018-03-31,47.96,$3.17,15.13
2017-12-31,46.4,$2.92,15.89
2017-09-30,53.73,$3.22,16.69
2017-06-30,50.72,$3.07,16.52
2017-03-31,47.84,$2.97,16.11
2016-12-31,48.84,$2.86,17.08
2016-09-30,39.53,$2.76,14.32
2016-06-30,38.55,$2.67,14.44
2016-03-31,38.46,$2.57,14.97
2015-12-31,40.44,$2.50,16.18
2015-09-30,36.46,$2.34,15.58
2015-06-30,35.23,$2.23,15.8
2015-03-31,30.77,$2.10,14.65
2014-12-31,28.46,$1.96,14.52
2014-09-30,25.5,$1.92,13.28
2014-06-30,27.04,$1.84,14.7
2014-03-31,28.93,$1.80,16.07
2013-12-31,24.54,$1.77,13.87
2013-09-30,22.67,$1.71,13.26
2013-06-30,17.93,$1.67,10.74
2013-03-31,15.95,$1.57,10.18
2012-12-31,14.55,$1.45,10.01
2012-09-30,12.18,$1.38,8.81
2012-06-30,11.47,$1.26,9.08
2012-03-31,12.19,$1.15,10.63
2011-12-31,10.59,$1.04,10.18
2011-09-30,8.57,$0.93,9.2
2011-06-30,9.69,$0.85,11.4
2011-03-31,10.24,$0.77,13.29
2010-12-31,10.51,$0.69,15.23
2010-09-30,8.36,$0.59,14.17
2010-06-30,8.58,$0.53,16.19
2010-03-31,8.63,$0.54,16.12
2009-12-31,7.63,$0.50,15.12
