BrightSpire Capital PE Ratio Historical Data,BrightSpire Capital PE Ratio Historical Data,BrightSpire Capital PE Ratio Historical Data,BrightSpire Capital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.93,,0.0
2024-12-31,5.64,$-1.05,0.0
2024-09-30,5.6,$-1.02,0.0
2024-06-30,5.54,$-1.02,0.0
2024-03-31,6.47,$-0.55,0.0
2023-12-31,6.79,$-0.13,0.0
2023-09-30,5.57,$0.03,185.56
2023-06-30,5.8,$-0.22,0.0
2023-03-31,4.94,$0.10,49.39
2022-12-31,5.04,$0.34,14.82
2022-09-30,4.94,$0.94,5.26
2022-06-30,5.74,$0.56,10.24
2022-03-31,6.85,$0.15,45.66
2021-12-31,7.44,$-0.77,0.0
2021-09-30,6.69,$-1.81,0.0
2021-06-30,6.59,$-1.23,0.0
2021-03-31,5.88,$-2.85,0.0
2020-12-31,5.12,$-2.76,0.0
2020-09-30,3.35,$-2.09,0.0
2020-06-30,4.79,$-4.90,0.0
2020-03-31,2.69,$-3.97,0.0
2019-12-31,8.64,$-3.24,0.0
2019-09-30,9.25,$-4.50,0.0
2019-06-30,9.62,$-2.15,0.0
2019-03-31,9.45,$-1.19,0.0
2018-12-31,9.29,$-1.35,0.0
