Riley Exploration Permian PE Ratio Historical Data,Riley Exploration Permian PE Ratio Historical Data,Riley Exploration Permian PE Ratio Historical Data,Riley Exploration Permian PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,30.2,,7.09
2024-12-31,31.92,$4.26,7.49
2024-09-30,26.12,$5.64,4.63
2024-06-30,27.57,$4.86,5.67
2024-03-31,31.72,$4.92,6.45
2023-12-31,25.76,$5.58,4.62
2023-09-30,29.71,$5.03,5.91
2023-06-30,33.07,$7.65,4.32
2023-03-31,34.97,$7.96,4.39
2022-12-31,26.78,$5.99,4.47
2022-09-30,17.05,$5.73,2.98
2022-06-30,21.47,$3.48,6.17
2022-03-31,22.0,$0.32,68.75
2021-12-31,16.72,$-5.10,0.0
2021-09-30,20.09,$-6.19,0.0
2021-06-30,24.46,$-7.95,0.0
2021-03-31,21.72,$-7.35,0.0
2020-12-31,12.43,$-2.16,0.0
2020-09-30,8.24,$-2.28,0.0
2020-06-30,5.54,$-1.56,0.0
2020-03-31,4.51,$-0.96,0.0
2019-12-31,4.91,$-0.48,0.0
2019-09-30,6.16,$-0.48,0.0
2019-06-30,8.37,$0.12,69.81
2019-03-31,10.33,$0.12,86.12
2018-12-31,9.52,$1.68,5.67
2018-09-30,11.63,$1.92,6.05
2018-06-30,7.47,$1.20,6.22
2018-03-31,7.12,$0.96,7.41
2017-12-31,8.02,$-0.84,0.0
2017-09-30,6.72,$-1.44,0.0
2017-06-30,6.82,$-2.88,0.0
2017-03-31,3.91,$-5.88,0.0
2016-12-31,7.02,$-8.28,0.0
2016-09-30,11.73,$-45.62,0.0
2016-06-30,7.52,$-53.42,0.0
2016-03-31,13.53,$-50.18,0.0
2015-12-31,12.03,$-48.62,0.0
2015-09-30,23.07,$-14.41,0.0
2015-06-30,26.77,$-3.60,0.0
2015-03-31,22.86,$-2.40,0.0
2014-12-31,25.86,$0.00,0.0
2014-09-30,47.11,$4.80,9.81
2014-06-30,44.21,$4.80,9.21
2014-03-31,50.92,$4.80,10.6
2013-12-31,39.1,$6.00,6.51
2013-09-30,42.1,$-2.40,0.0
2013-06-30,51.64,$-1.20,0.0
2013-03-31,64.76,$0.00,0.0
2012-12-31,60.16,$-1.20,0.0
2012-09-30,72.28,$10.80,6.69
2012-06-30,79.89,$10.80,7.39
2012-03-31,110.27,$10.80,10.21
2011-12-31,71.34,$10.80,6.6
2011-09-30,75.18,$0.00,0.0
2011-06-30,74.18,$-2.40,0.0
2011-03-31,117.29,$-3.60,0.0
2010-12-31,63.35,$-4.80,0.0
2010-09-30,43.11,$-1.20,0.0
2010-06-30,45.21,$-2.40,0.0
2010-03-31,47.37,$-3.60,0.0
2009-12-31,45.11,$-4.80,0.0
