ProPhase Labs PE Ratio Historical Data,ProPhase Labs PE Ratio Historical Data,ProPhase Labs PE Ratio Historical Data,ProPhase Labs PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.39,,0.0
2024-09-30,2.42,$-1.26,0.0
2024-06-30,4.18,$-1.21,0.0
2024-03-31,6.47,$-1.08,0.0
2023-12-31,4.52,$-0.98,0.0
2023-09-30,4.37,$-0.55,0.0
2023-06-30,7.26,$-0.19,0.0
2023-03-31,7.62,$0.41,18.59
2022-12-31,9.63,$1.06,9.08
2022-09-30,11.28,$1.82,6.2
2022-06-30,12.68,$1.50,8.45
2022-03-31,6.76,$1.01,6.69
2021-12-31,6.61,$0.39,16.94
2021-09-30,4.79,$-0.29,0.0
2021-06-30,5.71,$-0.07,0.0
2021-03-31,6.49,$0.03,216.32
2020-12-31,8.06,$-0.10,0.0
2020-09-30,3.04,$-0.10,0.0
2020-06-30,1.26,$-0.10,0.0
2020-03-31,1.66,$-0.22,0.0
2019-12-31,1.73,$-0.24,0.0
2019-09-30,1.52,$-0.24,0.0
2019-06-30,1.69,$-0.29,0.0
2019-03-31,2.37,$-0.20,0.0
2018-12-31,2.3,$-0.11,0.0
2018-09-30,2.19,$-0.11,0.0
2018-06-30,2.37,$-0.07,0.0
2018-03-31,1.63,$-0.19,0.0
2017-12-31,1.19,$2.32,0.51
2017-09-30,1.18,$2.28,0.52
2017-06-30,1.15,$2.34,0.49
2017-03-31,1.25,$2.42,0.52
2016-12-31,1.1,$-0.17,0.0
2016-09-30,1.08,$-0.20,0.0
2016-06-30,0.72,$-0.17,0.0
2016-03-31,0.77,$-0.21,0.0
2015-12-31,0.82,$-0.22,0.0
2015-09-30,0.87,$-0.19,0.0
2015-06-30,0.74,$-0.41,0.0
2015-03-31,0.72,$-0.50,0.0
2014-12-31,0.8,$-0.46,0.0
2014-09-30,0.77,$-0.38,0.0
2014-06-30,0.93,$-0.12,0.0
2014-03-31,1.1,$-0.04,0.0
2013-12-31,0.88,$0.03,29.49
2013-09-30,1.04,$0.02,52.21
2013-06-30,0.85,$0.01,85.19
2013-03-31,0.93,$-0.01,0.0
2012-12-31,0.75,$-0.08,0.0
2012-09-30,0.71,$-0.23,0.0
2012-06-30,0.59,$-0.23,0.0
2012-03-31,0.53,$-0.16,0.0
2011-12-31,0.63,$-0.18,0.0
2011-09-30,0.42,$-0.14,0.0
2011-06-30,0.46,$-0.15,0.0
2011-03-31,0.66,$-0.24,0.0
2010-12-31,0.66,$-0.25,0.0
2010-09-30,0.63,$-0.03,0.0
2010-06-30,0.6,$0.00,0.0
2010-03-31,1.09,$-0.21,0.0
2009-12-31,1.08,$-0.30,0.0
