Citizens PE Ratio Historical Data,Citizens PE Ratio Historical Data,Citizens PE Ratio Historical Data,Citizens PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.26,,23.91
2024-12-31,4.01,$0.22,18.23
2024-09-30,3.62,$0.43,8.42
2024-06-30,2.72,$0.43,6.33
2024-03-31,2.14,$0.47,4.55
2023-12-31,2.69,$0.48,5.6
2023-09-30,2.85,$0.34,8.38
2023-06-30,2.41,$0.19,12.68
2023-03-31,3.71,0,0.0
2022-12-31,2.13,$-0.13,0.0
2022-09-30,3.34,$0.57,5.86
2022-06-30,4.19,$0.61,6.87
2022-03-31,4.24,$0.78,5.44
2021-12-31,5.31,$0.74,7.18
2021-09-30,6.21,0,0.0
2021-06-30,5.29,$-0.10,0.0
2021-03-31,5.79,$-0.22,0.0
2020-12-31,5.73,$-0.19,0.0
2020-09-30,5.54,$-0.12,0.0
2020-06-30,5.99,$0.06,99.83
2020-03-31,6.52,$-0.01,0.0
2019-12-31,6.75,$-0.05,0.0
2019-09-30,6.87,$-0.15,0.0
2019-06-30,7.3,$-0.47,0.0
2019-03-31,6.67,$-0.43,0.0
2018-12-31,7.52,$-0.35,0.0
2018-09-30,8.4,$-0.35,0.0
2018-06-30,7.79,$0.02,389.5
2018-03-31,7.32,$0.08,91.5
2017-12-31,7.35,$0.12,61.25
2017-09-30,7.35,$0.12,61.25
2017-06-30,7.38,$0.10,73.8
2017-03-31,7.43,$0.12,61.92
2016-12-31,9.82,$0.04,245.5
2016-09-30,9.36,0,0.0
2016-06-30,7.6,$-0.05,0.0
2016-03-31,7.24,$-0.08,0.0
2015-12-31,7.43,$-0.03,0.0
2015-09-30,7.42,$0.01,742.0
2015-06-30,7.46,$0.05,149.2
2015-03-31,6.16,$0.08,77.0
2014-12-31,7.6,$0.09,84.44
2014-09-30,6.46,$0.11,58.73
2014-06-30,7.4,$0.10,74.0
2014-03-31,7.4,$0.10,74.0
2013-12-31,8.75,$0.10,87.5
2013-09-30,8.64,$0.07,123.43
2013-06-30,5.98,$0.10,59.8
2013-03-31,8.39,$0.08,104.88
2012-12-31,11.05,$0.09,122.78
2012-09-30,10.49,$0.12,87.42
2012-06-30,9.75,$0.11,88.64
2012-03-31,9.88,$0.17,58.12
2011-12-31,9.69,$0.18,53.83
2011-09-30,6.41,$0.35,18.31
2011-06-30,6.82,$0.33,20.67
2011-03-31,7.3,$0.33,22.12
2010-12-31,7.45,$0.32,23.28
2010-09-30,6.89,$0.29,23.76
2010-06-30,6.66,$0.30,22.2
2010-03-31,6.91,$0.26,26.58
2009-12-31,6.53,$0.20,32.65
