Ventas PE Ratio Historical Data,Ventas PE Ratio Historical Data,Ventas PE Ratio Historical Data,Ventas PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,67.71,,356.37
2024-12-31,58.89,$0.19,309.95
2024-09-30,63.68,$-0.17,0.0
2024-06-30,50.46,$-0.40,0.0
2024-03-31,42.86,$-0.19,0.0
2023-12-31,48.56,$-0.11,0.0
2023-09-30,40.68,$0.01,4067.71
2023-06-30,45.16,$0.19,237.67
2023-03-31,41.02,$-0.18,0.0
2022-12-31,42.19,$-0.12,0.0
2022-09-30,37.25,$-0.11,0.0
2022-06-30,47.16,$0.05,943.27
2022-03-31,56.15,$0.39,143.96
2021-12-31,46.14,$0.14,329.55
2021-09-30,49.39,$0.53,93.19
2021-06-30,50.67,$0.40,126.68
2021-03-31,46.96,$-0.25,0.0
2020-12-31,42.82,$1.16,36.91
2020-09-30,36.3,$0.90,40.34
2020-06-30,31.35,$1.10,28.5
2020-03-31,22.66,$2.10,10.79
2019-12-31,47.42,$1.19,39.85
2019-09-30,59.17,$1.33,44.49
2019-06-30,54.78,$1.38,39.7
2019-03-31,50.56,$1.26,40.12
2018-12-31,45.85,$1.13,40.58
2018-09-30,42.56,$2.05,20.76
2018-06-30,43.93,$3.48,12.62
2018-03-31,37.68,$3.44,10.95
2017-12-31,44.94,$3.77,11.92
2017-09-30,48.14,$3.26,14.77
2017-06-30,50.79,$1.97,25.78
2017-03-31,47.0,$1.97,23.86
2016-12-31,44.64,$1.86,24.0
2016-09-30,49.79,$1.65,30.18
2016-06-30,50.79,$1.30,39.07
2016-03-31,43.43,$1.33,32.65
2015-12-31,38.43,$1.26,30.5
2015-09-30,37.68,$1.25,30.14
2015-06-30,36.08,$1.55,23.28
2015-03-31,41.92,$1.57,26.7
2014-12-31,40.73,$1.61,25.3
2014-09-30,34.81,$1.62,21.49
2014-06-30,35.61,$1.65,21.58
2014-03-31,33.27,$1.57,21.19
2013-12-31,31.11,$1.54,20.2
2013-09-30,32.97,$1.46,22.58
2013-06-30,36.83,$1.44,25.58
2013-03-31,38.46,$1.30,29.58
2012-12-31,33.68,$1.23,27.38
2012-09-30,32.08,$1.60,20.05
2012-06-30,32.23,$1.57,20.53
2012-03-31,28.84,$1.43,20.17
2011-12-31,27.54,$1.42,19.39
2011-09-30,24.4,$1.25,19.52
2011-06-30,25.75,$1.27,20.27
2011-03-31,26.24,$1.53,17.15
2010-12-31,25.09,$1.57,15.98
2010-09-30,24.38,$1.43,17.05
2010-06-30,21.98,$1.38,15.93
2010-03-31,21.97,$1.58,13.91
2009-12-31,20.0,$1.76,11.37
