Owlet PE Ratio Historical Data,Owlet PE Ratio Historical Data,Owlet PE Ratio Historical Data,Owlet PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.15,,0.0
2024-12-31,4.45,$-1.42,0.0
2024-09-30,4.49,$-2.39,0.0
2024-06-30,4.12,$-2.62,0.0
2024-03-31,4.31,$-3.51,0.0
2023-12-31,5.28,$-4.54,0.0
2023-09-30,4.48,$-5.95,0.0
2023-06-30,0.34,$-7.49,0.0
2023-03-31,0.32,$-7.84,0.0
2022-12-31,0.56,$-9.94,0.0
2022-09-30,1.07,$-10.64,0.0
2022-06-30,1.7,$-13.31,0.0
2022-03-31,4.45,$-18.63,0.0
2021-12-31,2.67,$-14.99,0.0
2021-09-30,5.59,$-11.90,0.0
