RMR Group PE Ratio Historical Data,RMR Group PE Ratio Historical Data,RMR Group PE Ratio Historical Data,RMR Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.05,,12.82
2024-12-31,20.64,$1.33,15.52
2024-09-30,24.92,$1.36,18.32
2024-06-30,21.8,$1.50,14.53
2024-03-31,22.69,$2.69,8.44
2023-12-31,26.28,$3.46,7.6
2023-09-30,22.44,$3.42,6.56
2023-06-30,20.86,$3.69,5.65
2023-03-31,23.24,$2.67,8.7
2022-12-31,24.68,$1.95,12.66
2022-09-30,20.37,$2.07,9.84
2022-06-30,24.03,$2.16,11.12
2022-03-31,26.0,$2.20,11.82
2021-12-31,28.66,$2.11,13.58
2021-09-30,27.34,$2.13,12.84
2021-06-30,26.37,$1.69,15.6
2021-03-31,27.59,$1.60,17.24
2020-12-31,25.85,$1.69,15.3
2020-09-30,18.15,$1.76,10.31
2020-06-30,19.22,$1.89,10.17
2020-03-31,17.36,$1.84,9.43
2019-12-31,29.13,$1.95,14.94
2019-09-30,28.8,$4.59,6.27
2019-06-30,29.53,$4.58,6.45
2019-03-31,38.11,$4.74,8.04
2018-12-31,33.0,$4.76,6.93
2018-09-30,57.69,$5.93,9.73
2018-06-30,48.63,$5.74,8.47
2018-03-31,43.22,$5.65,7.65
2017-12-31,36.5,$5.56,6.56
2017-09-30,31.45,$2.63,11.96
2017-06-30,29.65,$2.78,10.67
2017-03-31,30.03,$2.77,10.84
2016-12-31,23.82,$2.72,8.76
2016-09-30,22.73,$2.33,9.75
