Lyra Therapeutics PE Ratio Historical Data,Lyra Therapeutics PE Ratio Historical Data,Lyra Therapeutics PE Ratio Historical Data,Lyra Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.17,,0.0
2024-12-31,0.21,$-1.27,0.0
2024-09-30,0.26,$-1.49,0.0
2024-06-30,0.28,$-1.58,0.0
2024-03-31,6.22,$-1.20,0.0
2023-12-31,5.24,$-1.29,0.0
2023-09-30,3.91,$-1.43,0.0
2023-06-30,4.11,$-1.56,0.0
2023-03-31,2.01,$-1.63,0.0
2022-12-31,3.14,$-1.73,0.0
2022-09-30,5.01,$-2.42,0.0
2022-06-30,5.65,$-2.87,0.0
2022-03-31,4.02,$-3.29,0.0
2021-12-31,4.36,$-3.35,0.0
2021-09-30,9.12,$-2.76,0.0
2021-06-30,8.03,$-2.40,0.0
2021-03-31,11.59,$-2.11,0.0
