Marchex PE Ratio Historical Data,Marchex PE Ratio Historical Data,Marchex PE Ratio Historical Data,Marchex PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.76,,0.0
2024-12-31,1.75,$-0.07,0.0
2024-09-30,1.87,$-0.09,0.0
2024-06-30,1.54,$-0.11,0.0
2024-03-31,1.37,$-0.15,0.0
2023-12-31,1.36,$-0.23,0.0
2023-09-30,1.45,$-0.29,0.0
2023-06-30,2.12,$-0.29,0.0
2023-03-31,1.82,$-0.26,0.0
2022-12-31,1.6,$-0.19,0.0
2022-09-30,1.68,$-0.15,0.0
2022-06-30,1.32,$-0.04,0.0
2022-03-31,2.29,$-0.02,0.0
2021-12-31,2.48,$-0.10,0.0
2021-09-30,2.99,$-0.18,0.0
2021-06-30,3.06,$-0.33,0.0
2021-03-31,2.81,$-0.41,0.0
2020-12-31,1.96,$-0.82,0.0
2020-09-30,2.12,$-0.71,0.0
2020-06-30,1.58,$-0.66,0.0
2020-03-31,1.45,$-0.59,0.0
2019-12-31,3.78,$-0.09,0.0
2019-09-30,3.14,$-0.09,0.0
2019-06-30,4.7,$-0.07,0.0
2019-03-31,4.73,$-0.07,0.0
2018-12-31,2.65,$-0.06,0.0
2018-09-30,2.78,$-0.07,0.0
2018-06-30,3.06,$-0.08,0.0
2018-03-31,2.73,$-0.09,0.0
2017-12-31,2.74,$-0.15,0.0
2017-09-30,2.62,$-0.27,0.0
2017-06-30,2.53,$-0.39,0.0
2017-03-31,2.31,$-2.01,0.0
2016-12-31,2.25,$-2.02,0.0
2016-09-30,2.35,$-1.85,0.0
2016-06-30,2.7,$-1.71,0.0
2016-03-31,3.78,$0.44,8.59
2015-12-31,3.3,$0.64,5.16
2015-09-30,3.42,$0.62,5.52
2015-06-30,4.2,$0.10,42.05
2015-03-31,3.45,$-0.38,0.0
2014-12-31,3.86,$-0.47,0.0
2014-09-30,3.47,$-0.46,0.0
2014-06-30,10.04,$0.10,100.39
2014-03-31,8.76,$0.07,125.15
2013-12-31,7.19,$0.05,143.88
2013-09-30,6.05,$-0.99,0.0
2013-06-30,5.01,$-1.05,0.0
2013-03-31,3.5,$-1.03,0.0
2012-12-31,3.42,$-1.05,0.0
2012-09-30,3.06,$-0.01,0.0
2012-06-30,2.85,$0.04,71.2
2012-03-31,3.5,$0.03,116.61
2011-12-31,4.88,$0.06,81.34
2011-09-30,6.62,$0.06,110.37
2011-06-30,6.9,$0.01,690.17
2011-03-31,6.1,$-0.09,0.0
2010-12-31,7.38,$-0.11,0.0
2010-09-30,4.2,$-0.13,0.0
2010-06-30,2.96,$-0.09,0.0
2010-03-31,3.91,$-0.03,0.0
2009-12-31,3.87,$-0.07,0.0
