Akso Health Group PE Ratio Historical Data,Akso Health Group PE Ratio Historical Data,Akso Health Group PE Ratio Historical Data,Akso Health Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.26,,0.0
2023-09-30,1.04,$-0.93,0.0
2019-09-30,4.59,$-1.53,0.0
2019-06-30,7.14,$-1.98,0.0
2019-03-31,10.02,$0.15,66.8
2018-12-31,7.5,$0.96,7.81
2018-09-30,23.64,$3.12,7.58
