Full House Resorts PE Ratio Historical Data,Full House Resorts PE Ratio Historical Data,Full House Resorts PE Ratio Historical Data,Full House Resorts PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.16,,0.0
2024-12-31,4.08,$-0.82,0.0
2024-09-30,5.02,$-1.18,0.0
2024-06-30,5.0,$-0.81,0.0
2024-03-31,5.57,$-0.72,0.0
2023-12-31,5.37,$-0.72,0.0
2023-09-30,4.27,$-0.56,0.0
2023-06-30,6.7,$-0.79,0.0
2023-03-31,7.23,$-0.76,0.0
2022-12-31,7.52,$-0.43,0.0
2022-09-30,5.62,$-0.09,0.0
2022-06-30,6.08,$0.14,43.43
2022-03-31,9.61,$0.42,22.88
2021-12-31,12.11,$0.29,41.76
2021-09-30,10.61,$0.27,39.3
2021-06-30,9.94,$0.42,23.67
2021-03-31,8.51,$0.02,425.5
2020-12-31,3.93,$-0.07,0.0
2020-09-30,1.94,$-0.34,0.0
2020-06-30,1.33,$-0.56,0.0
2020-03-31,1.25,$-0.35,0.0
2019-12-31,3.35,$-0.19,0.0
2019-09-30,2.16,$-0.11,0.0
2019-06-30,1.87,$-0.13,0.0
2019-03-31,2.02,$-0.11,0.0
2018-12-31,2.02,$-0.23,0.0
2018-09-30,2.88,$-0.32,0.0
2018-06-30,3.33,$-0.33,0.0
2018-03-31,3.21,$-0.38,0.0
2017-12-31,3.89,$-0.23,0.0
2017-09-30,2.79,$-0.19,0.0
2017-06-30,2.47,$-0.21,0.0
2017-03-31,2.43,$-0.27,0.0
2016-12-31,2.4,$-0.26,0.0
2016-09-30,1.79,$-0.20,0.0
2016-06-30,2.02,$-0.10,0.0
2016-03-31,1.44,$0.01,0.0
2015-12-31,1.67,$-0.06,0.0
2015-09-30,1.46,$-0.56,0.0
2015-06-30,1.67,$-0.71,0.0
2015-03-31,1.51,$-1.14,0.0
2014-12-31,1.4,$-1.11,0.0
2014-09-30,1.15,$-0.68,0.0
2014-06-30,1.41,$-0.75,0.0
2014-03-31,2.17,$-0.30,0.0
2013-12-31,2.8,$-0.21,0.0
2013-09-30,2.78,$-0.12,0.0
2013-06-30,2.7,$0.10,27.0
2013-03-31,2.8,$0.14,20.0
2012-12-31,3.45,$1.49,2.32
2012-09-30,3.75,$1.56,2.4
2012-06-30,2.89,$1.39,2.08
2012-03-31,2.84,$1.43,1.99
2011-12-31,2.63,$0.14,18.79
2011-09-30,2.74,$0.22,12.45
2011-06-30,3.15,$0.40,7.88
2011-03-31,3.81,$0.40,9.53
2010-12-31,3.39,$0.42,8.07
2010-09-30,3.14,$0.37,8.49
2010-06-30,3.15,$0.42,7.5
2010-03-31,2.87,$0.35,8.2
2009-12-31,3.44,$0.27,12.74
