American Coastal Insurance PE Ratio Historical Data,American Coastal Insurance PE Ratio Historical Data,American Coastal Insurance PE Ratio Historical Data,American Coastal Insurance PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.99,,7.79
2024-12-31,13.46,$1.54,8.74
2024-09-30,11.27,$1.75,6.44
2024-06-30,10.55,$1.42,7.43
2024-03-31,10.69,$1.45,7.37
2023-12-31,9.46,$6.96,1.36
2023-09-30,7.36,$-0.19,0.0
2023-06-30,4.46,$-2.08,0.0
2023-03-31,2.82,$-4.10,0.0
2022-12-31,1.06,$-10.86,0.0
2022-09-30,0.64,$-4.07,0.0
2022-06-30,1.56,$-2.75,0.0
2022-03-31,3.31,$-1.70,0.0
2021-12-31,4.27,$-1.34,0.0
2021-09-30,3.52,$-2.08,0.0
2021-06-30,5.45,$-3.48,0.0
2021-03-31,6.82,$-2.37,0.0
2020-12-31,5.37,$-2.26,0.0
2020-09-30,5.61,$-1.66,0.0
2020-06-30,7.2,$-0.59,0.0
2020-03-31,8.44,$-1.22,0.0
2019-12-31,11.45,$-0.70,0.0
2019-09-30,12.64,$-0.77,0.0
2019-06-30,12.82,$-0.38,0.0
2019-03-31,14.23,$0.03,474.49
2018-12-31,14.82,$0.01,1482.37
2018-09-30,19.9,$0.90,22.11
2018-06-30,17.36,$0.51,34.04
2018-03-31,16.92,$0.34,49.77
2017-12-31,15.2,$0.32,47.51
2017-09-30,14.31,$-0.80,0.0
2017-06-30,13.76,$0.02,688.0
2017-03-31,13.9,$0.30,46.34
2016-12-31,13.15,$0.26,50.57
2016-09-30,14.68,$1.39,10.56
2016-06-30,14.11,$1.61,8.76
2016-03-31,16.49,$1.41,11.69
2015-12-31,14.64,$1.28,11.44
2015-09-30,11.23,$1.19,9.43
2015-06-30,13.22,$1.22,10.84
2015-03-31,19.08,$1.43,13.34
2014-12-31,18.57,$2.07,8.97
2014-09-30,12.67,$1.97,6.43
2014-06-30,14.54,$1.82,7.99
2014-03-31,12.27,$1.64,7.48
2013-12-31,11.8,$1.26,9.36
2013-09-30,7.38,$0.90,8.2
2013-06-30,5.82,$0.73,7.97
2013-03-31,4.75,$0.74,6.41
2012-12-31,4.95,$0.93,5.33
2012-09-30,4.92,$1.15,4.28
2012-06-30,4.3,$1.41,3.05
2012-03-31,4.88,$1.13,4.32
2011-12-31,3.58,$0.78,4.59
2011-09-30,3.42,$0.74,4.62
2011-06-30,3.42,$0.36,9.49
2011-03-31,2.45,$0.37,6.63
2010-12-31,2.49,$-0.09,0.0
2010-09-30,1.65,$-0.47,0.0
2010-06-30,2.37,$-0.51,0.0
2010-03-31,2.81,$-0.26,0.0
2009-12-31,3.01,$0.39,7.72
