Linde PE Ratio Historical Data,Linde PE Ratio Historical Data,Linde PE Ratio Historical Data,Linde PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,457.75,,33.63
2024-12-31,418.67,$13.61,30.76
2024-09-30,476.86,$13.17,36.21
2024-06-30,438.81,$13.14,33.39
2024-03-31,464.32,$12.89,36.02
2023-12-31,410.71,$12.60,32.6
2023-09-30,372.35,$12.11,30.75
2023-06-30,381.08,$11.46,33.25
2023-03-31,355.44,$9.01,39.45
2022-12-31,326.18,$8.25,39.54
2022-09-30,269.59,$7.56,35.66
2022-06-30,286.33,$6.90,41.5
2022-03-31,316.98,$7.76,40.85
2021-12-31,342.36,$7.32,46.77
2021-09-30,288.99,$6.79,42.56
2021-06-30,283.82,$6.23,45.56
2021-03-31,274.06,$5.50,49.83
2020-12-31,256.68,$4.71,54.5
2020-09-30,231.07,$4.21,54.89
2020-06-30,205.06,$4.24,48.36
2020-03-31,166.48,$4.33,38.45
2019-12-31,204.87,$4.20,48.78
2019-09-30,185.6,$3.25,57.11
2019-06-30,191.5,$1.90,100.79
2019-03-31,166.97,$2.59,64.47
2018-12-31,147.33,$3.24,45.47
2018-09-30,150.96,$3.35,45.06
2018-06-30,147.8,$4.80,30.79
2018-03-31,134.17,$4.56,29.42
2017-12-31,143.05,$4.32,33.11
2017-09-30,128.56,$5.62,22.88
2017-06-30,121.95,$5.35,22.79
2017-03-31,109.11,$5.33,20.47
2016-12-31,107.1,$5.22,20.52
2016-09-30,109.74,$5.28,20.78
2016-06-30,102.07,$5.50,18.56
2016-03-31,103.24,$5.17,19.97
2015-12-31,92.37,$5.36,17.23
2015-09-30,91.89,$4.92,18.68
2015-06-30,107.84,$5.14,20.98
2015-03-31,108.92,$5.66,19.24
2014-12-31,116.22,$5.74,20.25
2014-09-30,115.72,$6.30,18.37
2014-06-30,119.17,$6.17,19.31
2014-03-31,117.49,$6.08,19.32
2013-12-31,116.06,$5.87,19.77
2013-09-30,106.78,$5.66,18.87
2013-06-30,101.77,$5.60,18.17
2013-03-31,98.06,$5.53,17.73
2012-12-31,95.72,$5.61,17.06
2012-09-30,90.38,$5.61,16.11
2012-06-30,94.1,$5.58,16.86
2012-03-31,98.69,$5.54,17.81
2011-12-31,91.56,$5.45,16.8
2011-09-30,79.67,$4.50,17.71
2011-06-30,91.91,$4.31,21.32
2011-03-31,85.72,$4.12,20.81
2010-12-31,80.14,$3.84,20.87
2010-09-30,75.41,$4.50,16.76
2010-06-30,63.16,$4.33,14.59
2010-03-31,68.58,$4.10,16.73
2009-12-31,65.97,$4.02,16.41
