Steel Dynamics PE Ratio Historical Data,Steel Dynamics PE Ratio Historical Data,Steel Dynamics PE Ratio Historical Data,Steel Dynamics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,126.64,,12.92
2024-12-31,114.07,$9.80,11.64
2024-09-30,126.08,$11.05,11.41
2024-06-30,129.03,$12.47,10.35
2024-03-31,147.17,$14.56,10.11
2023-12-31,116.89,$14.59,8.01
2023-09-30,105.74,$15.59,6.78
2023-06-30,107.0,$17.15,6.24
2023-03-31,110.63,$18.78,5.89
2022-12-31,95.23,$20.79,4.58
2022-09-30,68.92,$22.67,3.04
2022-06-30,63.95,$22.49,2.84
2022-03-31,80.25,$19.37,4.14
2021-12-31,59.46,$15.69,3.79
2021-09-30,55.79,$11.09,5.03
2021-06-30,56.61,$6.71,8.44
2021-03-31,48.0,$3.75,12.8
2020-12-31,34.69,$2.60,13.34
2020-09-30,26.75,$2.27,11.79
2020-06-30,24.17,$2.49,9.71
2020-03-31,20.68,$3.00,6.89
2019-12-31,30.88,$3.03,10.19
2019-09-30,26.84,$3.64,7.37
2019-06-30,26.98,$4.64,5.82
2019-03-31,31.26,$5.30,5.9
2018-12-31,26.45,$5.35,4.94
2018-09-30,39.53,$5.46,7.24
2018-06-30,40.03,$4.41,9.08
2018-03-31,38.37,$3.51,10.93
2017-12-31,37.26,$3.37,11.06
2017-09-30,29.67,$2.17,13.67
2017-06-30,30.69,$2.17,14.14
2017-03-31,29.66,$2.12,13.99
2016-12-31,30.22,$1.56,19.37
2016-09-30,21.15,$0.44,48.06
2016-06-30,20.62,$0.05,412.36
2016-03-31,18.83,$-0.40,0.0
2015-12-31,14.86,$-0.53,0.0
2015-09-30,14.18,$0.32,44.3
2015-06-30,16.95,$0.45,37.67
2015-03-31,16.35,$0.63,25.95
2014-12-31,15.94,$0.67,23.79
2014-09-30,18.15,$1.10,16.5
2014-06-30,14.34,$0.97,14.78
2014-03-31,14.12,$0.79,17.88
2013-12-31,15.41,$0.83,18.57
2013-09-30,13.11,$0.86,15.25
2013-06-30,11.62,$0.67,17.34
2013-03-31,12.28,$0.74,16.59
2012-12-31,10.54,$0.73,14.44
2012-09-30,8.57,$0.60,14.28
2012-06-30,8.86,$0.73,12.13
2012-03-31,10.89,$0.96,11.34
2011-12-31,9.78,$1.22,8.02
2011-09-30,7.32,$1.12,6.54
2011-06-30,11.88,$1.02,11.65
2011-03-31,13.64,$0.81,16.83
2010-12-31,13.22,$0.64,20.66
2010-09-30,10.16,$0.72,14.1
2010-06-30,9.44,$0.93,10.15
2010-03-31,12.44,$0.63,19.75
2009-12-31,12.56,$-0.14,0.0
